,리뷰,메뉴
70,"진짜 저희동네 최고의 치킨집입니다 사장님도 너무 친절하시고, 저는 꼭 여기서만 주문해요 !! 오늘도 역시나 넘나 맛있네용",후라이드반＋양념반/1(추가／변경 선택(떡 추가))
71,방학인 아들들이 먹고싶다고해서 주문했어요. 배송 빠르고 맛있고~만족만족합니다.,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1
72,292929맛있다 말있다,B세트（후라이드＋양념치킨＋콜라1.25L）/1
73,시킬때마다 튀김옷 너무 좋아요 다른지점 두껍고 맛없는데 여기는 바삭바삭 너무 맛있어요,"후라이드치킨/1,양념치킨/1"
74,맛남!!!!!!!!,양념치킨/1
75,항상 맛있게 먹고있어용!! 배달해주시는 분이 한결같이 친절하셔요!,후라이드반＋양념반/1
76,페리카나 치킨이 찾아왔어요~~,후라이드반＋양념반/1
77,오늘 쿠폰을 안갖다주셨어요...전화해서 말씀드리려다 배달이 바쁘실까싶어 그냥뒀는뎅...그리고 후라이드깨소금도 없구요.양념치킨 양념도 너무 적었고.아무래도 정신없으셨었던듯해요. 다음번에 주문할적에 쿠폰이랑 말씀드리려구요.,B세트（후라이드＋양념치킨＋콜라1.25L）/1
78,역시 맛있습니다~~최고^^,B세트（후라이드＋양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
79,후라이드를 좋아해서 맛있었어요^^,"후라이드반＋양념반/1(추가／변경 선택(떡 추가,콜라 1.25L로 변경))"
80,후라이드 너무바삭하고 맛있어요,후라이드치킨/1
81,맛있어요 양도 좋고 근데 떡추가했는데 떡양이 좀 적어 별하나 뺐습니다~~,K세트（양념치킨＋마늘치킨＋콜라 1.25L）/1(추가 선택(떡 추가))
82,넘넘넘 마시써용~~~쵝오!!!,B세트（후라이드＋양념치킨＋콜라1.25L）/1
83,맛있었어요 배달도 빠르구요,B세트（후라이드＋양념치킨＋콜라1.25L）/1
84,후라이드 짱!!!!!,후라이드치킨/1
85,너무 맛있게 잘먹었어요 튀김옷이 아주 적당해서 고소하니 맛있엇어요,후라이드반＋양념반/1
86,바삭바삭 맛있게 잘먹었너요~~,다리＋날개반반（후라이드반＋양념반）/1(추가／변경 선택(떡 추가))
87,빠싹 짭쪼름 너무 맛있어요! 마늘치킨!,마늘치킨/1
88,양념은 역시 패리카나 맛있게 잘먹었어요 굳,후라이드반＋양념반/1
89,양념치킨은 언제나 페리카나! 그중 북가좌1호점 친절하고 맛있어서 여기서만 시켜요. 감사합니다👍👍,B세트（후라이드＋양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
90,왠만한치킨집보자 괜츈한듯요 닭도크고,후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
91,오랜만에 먹은치킨 성공적!!!!,순살후라이드반＋순살양념반/1
92,깨끗한 기름에 신선한 닭을 튀긴것이 느껴졌습니다 비가 오는데도 빠른배달 까지 모든것이 완벽했습니다~,후라이드치킨/1
93,옛날 양념 통닭 맛이라 맛있게 먹었어요! 친절하게 배달해주셔서 감사했습니다~ 많이 파세요!!,후라이드반＋양념반/1
94,항상 친절하시고 배달도 빨라서 좋아요! 바삭바삭 후라이드는 여기가 제일입니다~!,후라이드치킨/1
95,맛있었습니다 튀김옷도 많이 두껍지 않고 양념도 최고였습니다,후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
