,리뷰,메뉴
51,배달도 빠르고 맛도 너무 맛있어요~~!!,"세트메뉴1（불닭발＋옛날치킨）/1,김가루밥/1"
52,좀 늦게 시켜서 죄송했는데 친절히 가져다 주셔서 감사해요 가끔 엄마집에 오면 항상 시켜먹는데 닭발은 여기가 제일맛있어요:D 꼭 꼭 번창하세요!,"무뼈닭발＋계란찜/1,김가루밥/1,콜라1.25L/1"
53,매콤하게 맛있어요~^^,세트메뉴2（무뼈닭발＋옛날치킨）/1
54,정말 맛나네용~~~~~,무뼈닭발＋계란찜/1
55,야식으로 최고인거 같아용!! 특히 옛날치킨은 진짜 진짜 맛나요~~,세트메뉴6（소금구이똥집＋옛날치킨）/1
56,맛있고 깔끔합니다.. 초심을 유지하시고 조금만 더 신경쓰시면 대박집되실듯~~~,세트메뉴1（불닭발＋옛날치킨）/1
57,예전에 먹을때는 이가격에 계란찜까지 먹은거 같은데 아쉽네요. 닭발 양이 약간 적긴하지만 매콤하니 아내가 좋아하네요~ 담에 뵈요,세트메뉴2（무뼈닭발＋옛날치킨）/1
58,뺑덕어멈짱!진짜맛있어요ㅜㅜ내스타일,"세트메뉴2（무뼈닭발＋옛날치킨）/1,계란찜/1"
59,배달.맛.양다만족해요 맛있게맵고냄세도안나고 콜라를먹던걸잘못가져다주셔서전화했더니바로갔다주심 중간에생각나서먹다가찍음 월래수저.젓가락안주시는거몰랐네요 전받은거같았는데 헷깔렸나보네요,"심청이세트5（불닭발＋소금구이똥집＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(무뼈닭발로 변경)),콜라1.25L/1"
60,눈이 너무 많이 오던 날 주문을 해서 배달 와주신 것만도 감사해서 한참 인사를 드렸네요. 계란찜도 짜지 않고 매운거 달래는데 좋았어요. 맛있게 먹었네요.,심청이세트5（불닭발＋소금구이똥집＋계란찜）/1
61,맛이 있지만 양이 적어요 ㅜㅜ,무뼈닭발＋계란찜/1
62,좋아요 맛있게잘먹었어요,불족발＋계란찜/1
63,늘 믿고 시켜먹던 곳! 닭발이 예전에 비해 맵기도 덜하고 후들후들 해졌어요ㅠ 초창기 정말 맛났는데 ㅠ 통닭은 워낙 제가 좋아하는 스타일이라 맛있게 먹었습니다 배달이 느린점이 아쉽지만 역시 맛있어요,세트메뉴2（무뼈닭발＋옛날치킨）/1
64,배달 늦어서 전화했더니 그럼 어떻게 할까요 하고있음,
65,매운 무뼈 닭발 옛날치킨 맛나요,
66,항상 친절하시고 맛있어요!,"심청이세트5（불닭발＋소금구이똥집＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(무뼈닭발로 변경,콜라 1.25L 변경)),김가루밥/2"
67,닭발 시켰어요 너무 달고 냄새가 좀 나요 못 먹을 정도는 아니지만 후기만큼은 아니네요 계란찜이 맛있어요,
68,맛있었어요,
69,간만에 매운 음식먹었네요~닭발에 파절이를 올렸는데..괜찮더라구요..다만 오돌뼈에 카레맛이나서 전 별로였어요~그래도 맛있게 잘먹었네요~^^,
70,닭발 정말 맛있음,세트메뉴2（무뼈닭발＋옛날치킨）/1
71,👍,무뼈닭발＋계란찜/1
72,2번째 시켜먹음 술안주겸 밥겨 치킨+닭발 굿굿,
73,정말 좋아하는 집인데 오늘 김가루밥에 간을 전혀 안하셨더라구요...ㅠ 맨밥에 참기름이랑 김가루만 있었어요 다음엔 신경좀 써주세요,"무뼈닭발＋계란찜/1,김가루밥/1"
74,불닭이 이게불닭이 맞는건지 엄청실망했습니다. 매콤한것과 느끼한것의 조화를 원해 붉닭과 치킨 조합이였는데. 둘다 느끼하여 아쉬움이 많이 남네요. 순살치킨불닭이 맞는거 같아요 불닭이 엄청실망적이였습니다 옛날통닭과 자주먹는 무뼈닭발은 맛있게 먹었습니다,
75,ㅇㅇ,세트메뉴2（무뼈닭발＋옛날치킨）/1
76,배달 닭발 중에서는 서대문 은평에선 여기가 젤 맛있음. 떡볶이도 같이시키면 배는 부르지만 담날 먹어도 꿀맛임,
77,제 입맛에 정말 딱 맞구 맛있었어요!! 내일도 시켜먹으려구요! 강추강추!!,
78,정말 최고에요 맛있는데 친절두하시구 부족한게 없네요 가게 오래오래하세요~,"심청이세트5（불닭발＋소금구이똥집＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(무뼈닭발로 변경)),김가루밥/2"
79,진짜 맛있어요 양도적당하고 엄청친절하세요 자주이용할것같아요~,"심청이세트2（불닭발＋오돌뼈＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(무뼈닭발로 변경)),김가루밥/2"
80,맛잇습니다만파에소스가없어아쉽네요 많이맵구요ㅠ,
81,항상믿고먹는곳ㅎㅎㅎ아주머니아저씨다친절해용,
82,항상 믿고먹는곳 양은 작지만 진짜맛있어요!!,무뼈닭발＋계란찜/1
83,여긴 믿고먹는곳!,
84,"빠르고 맛있어요ㅡ 근데 좀 덜 매웠으면하는바람.. 참 젓가락이랑 숫가락좀 가져다 주세요. 항상 빼먹으시더라구요,",
85,자주시켜먹는데 맛있고 좋아요!-!,"매운양념똥집＋계란찜/1,김가루밥/1"
86,숯불향 맛이 넘 맛있네요,
87,"맛나요!!!!!! 닭발위에 올려진 파도 좋고, 무엇보다 닭발이 맛있어서 굿!! 이제 닭발은 여기서~~","무뼈닭발＋계란찜/1,김가루밥/1"
88,Soso~~,
89,너무 맵지도 않고 적당히 매콤해서 맛있게 먹었어요,무뼈닭발＋계란찜/1
90,몇번 리뷰타이밍을 놓쳤었는데 드디어 리뷰쓰네요! 요기요로 이 집 찾은뒤로 야식으로 닭발 땡기면 이집만 먹어요~ 잡내없고 탱탱한데다 배달기사분도 친절하셔서 기분좋네요. 맛있게 매워서 습습거리면서도 자꾸 먹게되요ㅎ,
91,항상 자주 시켜먹어요 맛 괜찮아요,
92,저예전에좋아하던 숯불양념족발그맛이나네요.통닭발먹어보고 그맛일거같아시켰는데 정말맛있었어요.하지만 미니족이라는거..ㅜㅜ그래서쌌던거죠.제가껍데기를많이못먹어서 그것만아쉬웠구요..통닭발은 좀더발라먹기편하게 푹익었으면했습니다.매운데 마디마디가잘안잘라져서 입술불타는줄알았거든요ㅎㅎ담엔 뼈없는닭발먹을거에요.,
93,맛있네요 다만 살작 아쉬운점은 좀더 익혀서 왔으면좋았을거같네요.숯불맛은 나는데 약간 흐들한 식감이 아쉬웠어요. 맛은있어요,
94,남편이 아주 좋아해서 통닭발 자주 시켜먹어요 맛있어요,
95,불족발은 진리네요. 정말 맛있어요. 근데 양이 아쉬움..ㅠ 불족발좀 많이주세요 넘 적어요ㅠ,
96,"무뼈닭발에 계란찜 시켰어요. 매운데 계속 땡겨여 ㅋㅋ 양도 많구, 맛나용! 배달해주시는 분도 빠르고 친절했습니다:) 자주자주 시켜먹을래용!",
97,통닭발인데 닭뼈가 거의다 부러져서 왔어요 맛은있었어요,
