,리뷰,메뉴
183,배달완존빠르고 맛있어요 ㅋㅋㅋ,허니순살[R]/1(세트 선택(선택안함))
184,맛잇어요 근데 좀느끼해요,허니오리지날/1(세트 선택(허니순살[S]))
185,주말저녘이라 배달이 느렸지만 크게 상관은 없었네요 ㅎㅎ,교촌콤보/1
186,역시 레드 최고 ... 디핑소스는 빼먹었지만 그래두 맛있었어용,레드윙/1
187,항상 믿고 먹습니다. 배달까지 빨라서 좋네요.,반반콤보/1
188,항상 믿고 먹습니다. 배달까지 빨라서 좋네요.,교촌콤보/1
189,항상 믿고 먹습습니다. 배잘까지 빨라서 좋아요.,교촌콤보/1
190,전화도 잘 안받으시고 배달도 한시간 반이나 걸렸네요 그동안 많이 이용했는데 이번엔 좀 실망이네요,허니콤보/2
191,많이 바삭해서 촉촉한 느낌은 좀 덜한데 그래도 맛있게 먹었습니다:),반반콤보/1
192,너무 맛있었어요! 따뜻하게 와서 좋네요,교촌윙/2(세트 선택(선택안함))
193,교촌은 허니콤보가 맛있죠,허니콤보/1
194,맛있다 짬쪼롬 바삭바삭! 치킨무도 맛있음,교촌콤보/1
195,허니콤보 처음 시켰는데 완전 만족 웨지감자도 맛남,"허니콤보/1(세트 선택(웨지감자（세트）)),스위트칠리소스/1"
196,맛있게 잘 먹었습니다~~~~^^,허니콤보/1
197,배달이 예상 소요시간보다 조금 늦게 와서 아쉽지만 전화했을 때에 직원분들이 너무 친절하시고 치킨도 맛있어서 만족합니다 ! 예상 소요 시간이 맞지 않을 수 있으니 배달이 조금 늦게 와도 괜찮으실 분들만 이 어플로 주문하시길 추천드립니당,"살살치킨/1(세트 선택(웨지감자（세트）,선택안함))"
198,맛이좋아요 배달비는언제나 씁쓸하군여,살살치킨/1(세트 선택(선택안함))
199,너무 바삭한 상태로 왔네요 조금 오래걸린것만 빼면요 ㅎㅎㅎㅎ 너무너무 맛있어요,허니콤보/1(세트 선택(선택안함))
200,너무너무 맛있어요 체고❤️💪👍⭐️,교촌오리지날/1(세트 선택(웨지감자（세트）))
201,항상 맛있어요 배달 좀느림,허니콤보/1
202,다른교촌에 비해서 양도많고 배달도 빨라요 추천합니다 맛있게잘먹었습니다,허니오리지날/1(세트 선택(선택안함))
203,따른데보다 양도 많음,허니콤보/1
204,양도 많고 맛도 좋고 맛있게 먹었습니다~^^,허니콤보/1
205,맛은있는데 원래 젓가락이없나요?,반반콤보/1(세트 선택(선택안함))
206,항상 맛있게 잘 먹고 있어요,교촌콤보/1(세트 선택(웨지감자（세트）))
207,항상 맛있게 잘 먹고 있어요,교촌콤보/1(세트 선택(웨지감자（세트）))
208,짭짤하고 바삭바삭함 ~!! 개맛있다 ㅠㅠㅠ 중독성있음,반반콤보/1
209,"오리지날이에요 교촌 왜이렇게 변한거죠? 명지대점만 이런가요? 이건 대체 어느 부위인가요? 먹다남긴거라 하기에도 살도없고 딱딱하고, 어제 튀긴거 다시 튀긴것도 이보다는 낫겠네요. 교촌맛이 생각나서 배달비 불구하고 주문한건데, 앞으로는 요기요 어플도 사용 안할 듯 합니다. 에휴~~~~~~","교촌오리지날/1(세트 선택(선택안함)),허니오리지날/1(세트 선택(선택안함))"
210,레드윙은 진짜 진리인듯. 전 콤보보다 레드윙이 젤 맛나요,레드윙/1
211,내사랑 레드윙~ 배달도 빠르고 가장 맛난 레드윙 잘하는곳,레드윙/1
212,허니콤보 이렇게 맛있을줄은 몰랐어요,허니콤보/1
213,첨시켜봤는데 주말 저녁 피크타임이라 배달이 늦은거 말곤 괜찮았아요! 잘먹었습니당,반반콤보/1(세트 선택(선택안함))
214,허니오리지널 시키려다 그냥 오리지날 시켰는데 먹어본 양 중 가장 작은 양이고 안의 싱겁고 겉은 짜고 피드백 되셨음 싶어 적어보네요,
215,맛있어요 가끔한번씩먹음 맛있어요ㅎㅎ,교촌윙/1(세트 선택(선택안함))
216,교촌은 늘 맛있네요,레드윙/1(세트 선택(웨지감자（세트）))
217,양도많고 허니도 오리지널도 맛있어요~^^ 다만 좀더 바삭했으면좋겠어요,허니오리지날/1(세트 선택(선택안함))
218,맵진않고..짜요..ㅜㅜ..종종시켜먹는데..맵게해달라고했는데...양은많아요~교촌레드완전 좋아하는데..오늘은 입에 안맞네요.ㅜㅜ,레드오리지날/1
219,그럭저럭 맛있음 굿ㄱㄷㆍㅅ,허니오리지날/1(세트 선택(선택안함))
220,Gooooooood,"레드윙/1(세트 선택(선택안함)),허니오리지날/1(세트 선택(선택안함))"
221,배달도 양도 나름 괜찮았는데 같이 주문한 웨지감자가 다 식어서왔네요😭 사실 식은수준이 아니라 그냥 차가워요.. 치킨도 부스러기랑 튀김옷만 많은정도..ㅜ 그래서 맛에서 별두개빼요,허니콤보/1(세트 선택(웨지감자（세트）))
222,레드사리즈에 맥주는 최고인듯!! ^^,레드콤보/1(세트 선택(선택안함))
223,래드가 하나도 안 맵고 맛이 없어요. 간장도 마찬가지고요. 치킨도 기름 많이 먹은 걸 보니 낮은 온도에서 튀긴 거 같아요. 불금에 치맥하려 시켰는데 실망했어요ㅜ,반반오리지날/1(세트 선택(선택안함))
224,항상 먹는곳 맛있어요~~~,"반반콤보/1(세트 선택(선택안함)),레드디핑소스/1"
225,맛있어요맛있어요맛있어,허니콤보/1(세트 선택(선택안함))
226,배달이 좀 느렸던 것 빼곤 다 좋았습니다!,허니콤보/1(세트 선택(선택안함))
227,맛있고 배달도 빠릅니다,허니오리지날/1
228,맛남!!!!!!!!!!!!!,교촌오리지날/1
229,항상 주문해서 먹는 메뉴입니다~ 아이들이 먹기에도 좋아요~~,허니콤보/1
230,저희 누나가 다 먹은 건지 양이 적은 건지 하여튼 맛있네요,허니콤보/1
231,Gooooooood,레드윙/1(세트 선택(허니순살[S]))
232,대존맛 믿고 먹는 허니콤보죠?,허니콤보/1(세트 선택(선택안함))
233,맛잇엇어용 배달이 한시간 사십분 걸린 거 빼면 ㅠ 그날 좀 빡칠뻔해써요 근데 튀김 깨끗한거같고 마싯긴 해요 ㅠ 교촌 아저씨 담엔 더 빨리 해조용!!!,반반윙/1
234,역시 교촌이네요~~^^ 적당히 튀겨져서 딱딱하지두 눅눅하지두 않게 잘 튀겨져와서 더 맛있었어요~^^,교촌윙/1(세트 선택(웨지감자（세트）))
235,배달도 빠르고 넘 좋아요 김사합니다,허니콤보/1
236,넘 맛있어요! 최고최고 재주문 들어갑ㄴ다!,허니콤보/1
237,잘먹었어요 ㅋㅋㅋㅋ,레드스틱/1(세트 선택(웨지감자（세트）))
238,배달도 빠르고 맛도있어요~~,허니콤보/1
239,괜찮아요 또 주문할께요,허니콤보/1(세트 선택(선택안함))
240,맛있게 잘 먹었습니다 ~,허니콤보/1(세트 선택(선택안함))
241,배달도느리고 맛도양도별로,반반콤보/1
242,배달시간이 좀 오래걸리는 것 빼고는 다 만족스럽습니다~~,허니콤보/1
243,맛있었어요 감사합니다^^,허니오리지날/1
244,생각보다 빠르게 와서 좋았어요,허니콤보/1(세트 선택(선택안함))
245,교촌은 사랑이죠 그냥굳,교촌오리지날/1
246,마음에듭니다 젛아요!좋아요,"허니순살[R]/1,레드디핑소스/1"
247,여윽시 교초니다 이르케 말할수 이쓰요,반반오리지날/1(세트 선택(선택안함))
248,그흔한 젓가락도 챙겨주지 않으시네요.... 배달도 1시간도 넘게 걸렸고 조금 너무 했습니다 맛은 진리의 교촌이지만 세세한 부분이 아주 상당히 아쉽네요,반반콤보/1(세트 선택(웨지감자（세트）))
