,리뷰,메뉴
59,새로 생긴 듯 해서 시켜먹었는데 맛있어요! 근데 껍질이 너무 딱딱해서 조금 물렁해지면 좋을 것 같아요!!,"크리스피치킨/1,어니언/1"
60,가성비 최고입니당 너무좋앙ㆍ느,크리스피치킨/1
61,맛있게 잘먹었네요.,크리스피치킨/1
62,기대이상으로 맛있어요~앞으로 치킨은 이곳에서만 먹을껍니다~!ㅋㅋㅋ,"크리스피치킨/1,양념 순한맛/1"
63,ㅎ혀ㅕㅕ7효7ㅛㅛ호ㅕ,치즈스프린클/1(추가 선택(순살로 변경))
64,"양념소스 2개 추가로 주문했는데,1개만 왔습니다. 치킨집에 전화해서 문의했더니 처음 전화 받으셨던 분이 배달료 3500원이다 뭐다 어쩌고 얘기하더니, 바쁘다고 500원 환불해준다고 계좌 알려달라고 하네요. 그 다음 다른분이 전화받더니 죄송하다고 직접 가져다 준다하는데, 처음부터 이렇게 얘기했어야 되는것 아닌가요? 정말 기분나쁘게 먹었습니다.","크리스피치킨/1,양념 순한맛/2"
65,배달이 엄청 빠릅니다 잘먹엇어요,"크리스피치킨/1,양념 매운맛/1"
66,그냥 먹던 맛입니다,델리（간장）윙봉/1
67,가격도 맛도 좋습니다. 사진은 못찍었는데 서비스로 주신 소스 감사했습니다.,크리스피치킨/1
68,부어치킨 가성비치킨입니다. 2번시켜먹었는데 둘다 만족했어요,세트4（크리스피＋맛쇼킹＋콜라 500ml）/1
69,맛있습니다.가성비 좋아요.,세트1（크리스피＋양념치킨＋콜라 500ml）/1
70,배달빠르고 맛나네요 화이팅,갈비맛치킨/1
