,리뷰,메뉴
45,깻잎도 많이 넣어주시고 당면을 못먹어서 빼달라고 했는데ㅠㅠ 너무 감사하게 빼주셨어요ㅠㅠ 엄청 맛있어요 깻잎이랑 떡볶이랑 너무 잘 어울려요~ 맛있게 잘먹었습니다~ 떡꼬치 진짜 따뜻할때 먹으니까 천국이더라구요~,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),더블치즈/1"
46,"다른 걸 안 먹어봐서 모르겠지만, 더블치즈 치킨이 그냥 후라이드 같긴 했고 맛은 좋았습니당 그보다 일단 떡볶이가 인기가 많아서 기대 했는데 정말 깻잎 넣어보라고 리뷰 해준 사람 감사합니다. 봉투 칼로 째는 순간 깻잎 냄새가 식욕을 자극하더라구요 그리고 처음 딱 받을 때 열심히 올라와 주신 배달하신 분도 서비스 정신에 감동 했고, 양에서도 대만족 했습니다. 가성비 출중한 것 같네요 정말 우우오오..","두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(보통맛),치킨 선택(골드 치즈 치킨으로 변경)),더블치즈/1,깻잎/1"
47,양도 많고 맛있게 잘 먹었습니다.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(매운맛)),수제 핫도그 오리지날 1개/1,콜라 1.25L/1"
48,오.. 다른 리뷰들 보면 깻잎추천 많이하길래 저도 깻잎 추가해서 먹었는데 신세계입니다ㅋㅋ 배달도 빠르고 서비스로주신 떡꼬치도 잘먹었습니다!!,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),깻잎/1,콜라 1.25L/1"
49,떡봌이에 깻잎 강추합니다 늦은 시간에 너무 맛있게 배불리 잘 먹었습니다 서비스로 주신 떡꼬치도 맛있어요 국물까지 먹었네요 다음에 또 주문할정도로 강추합니다,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),더블치즈/1,깻잎/1,삶은 계란/2"
50,넙적당면 완전 맛나네요,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(매운맛)),더블치즈/1,넙적 당면/1"
51,축구때문이라지만 2시간은..,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),고구마튀김 2개/1,오뎅튀김 5개/1,김말이 2개/2"
52,사진 찍는걸 깜박..따뜻한 핫도그를 먹겠다고 하나를 후다닥 다먹고나서 친구가 다른거 물고 먹는걸 뺏어서 ㅎㅎ 케챱을 안뿌리고 그냥 먹고있던걸 찍었네요 핫도그는 튀김옷을 얇게해서 좋았구요 떡볶이안에 당면이 두꺼워서 끊어지지않아서 전 좋았구요 떡볶이도 맛나네요~~강추요~~,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),수제 핫도그 오리지날 1개/2,떡/1"
53,맛있어요.최고예요^^~~~,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡/1,깻잎/1,넙적 당면/1"
54,맛있게잘먹었당 소주안주로는딱이지,"신춘라볶이 /1(사이즈 선택(大),떡볶이 맛 선택(보통맛)),원펀치 쓰리강냉이 셀프주먹밥/1,수제 핫도그 오리지날 1개/1"
55,떡볶이에 깻입항이 정말 매력적입니다. 양도 두 명이서 먹어도 남을정도,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(보통맛),치킨 선택(어니언 치킨으로 변경))"
56,좋아요. 맛있어요....,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1,더블치즈/1"
57,전체적으로 괜찮아요,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡볶이는 내 친구 모둠튀김/1,원펀치 쓰리강냉이 셀프주먹밥/1,수제 핫도그 오리지날 1개/1,오뎅튀김 5개/1,환타 오렌지 355mL/1,떡꼬치 /1"
58,앞으로 여기에서만 먹을래요 ㅠㅠ 너무 맛잇잖아요 사진찍눈거 까먹어서 다먹은거 찍어요 ^^;;;;;;,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),삶은 계란/2,넙적 당면/1,콜라 245mL/1"
59,짱 맛있어요!! 떡볶이는 초등학교 앞 떡볶이 맛인데 안 퍼진 떡이에요! 맛있어용ㅎㅎ 주먹밥은 어묵으로 라먹으면 진심 개꿀맛!! (저건 직접 동그랗게 빚은거에요. 올 때는 그냥 밥 위에 김만 올라가서 옵니다) 치킨도 맛있어요! 따듯하고 바삭하게 와서 너무 맛있게 먹었어요. 저는 양념소스보다 떡볶이 국물에 찍어먹는게 더 맛있더라구요 콜라도 아주 크고 너무 만족합니다! 사장님 많이 파세요~~~❤❤,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(보통맛),치킨 선택(변경 안함))"
60,"떡이 매우 쫄깃해서 식감이 좋아요. 대신 간이 베어들진 얺았긴 한데, 새로 만든 느낌이라 좋았습니다. 치킨은 앞서 리뷰해주신분과 같은 감상이고요. 국물과 궁합은 좋습니다. 주먹밥은 말 그대로 김+밥(+깨)이에요. 예컨대 날치알 같은 재료가 더 있었다면 좋았을 것 같아요. 그래도 잘 먹었습니다","두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함))"
61,맛있어요맛있어요맛있어요,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(매운맛),치킨 선택(변경 안함))"
