,리뷰,메뉴
69,시키자마자 배달왔써엽 뇸뇸 너무 마싯어 ㅠ 감튀도 엄청 따뜻하고 뇸뇸 자쥬시킬게여 내일 이사가는데 요 옆이라 또 시킬수있뜜,순살 치킨/1(맛 선택(간장＋양념))
70,진짜맛있네요 치킨도맛있는데 수제치킨무가예술입니다 우와,순살 치킨/1(맛 선택(간장＋마늘))
71,맛잇어요 간간하니 좋아요,동물복지 후라이드 치킨/1(맛 선택(후라이드＋간장))
72,??한시간반째안오는데 어떻게 리뷰를써요;,순살 치킨/1(맛 선택(간장＋양념))
73,맛있게 먹었어요 ㅎㅎ,순살 치킨/1(맛 선택(후라이드＋양념))
74,오기로 한 시간보다 30분 늦게 왔어요.. ㅠㅠ 맛은 있어요,"동물복지 후라이드 치킨/1,순살 치킨/1(맛 선택(순살치킨))"
75,처음 시켜봤는데 맛있네요! 오늘 할인땜에 배달은 좀 오래 걸렸지만 맛있어요. 감튀랑 치즈볼도 들어있어요. 또 시킬게요,순살 치킨/1(맛 선택(후라이드＋양념))
76,맛좋고 배달빠르고 짱입니다..근데 치킨무에서 지난번에도 머리카락 나왔는데 오늘도 또 내왔네요....ㅠ.ㅠ 신경써주세요ㅠ,동물복지 후라이드 치킨/1
77,믿고 먹는 자담 핫후네요~~~,핫후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리))
78,맛있게. 잘먹었습니다,"순살강정치킨/1(매운맛 선택(순한맛),사이드메뉴 추가(사이다 사이즈 업))"
79,매주일요일마다 시켜먹는데 완전맛나요,"순살파닭후라이드/1(사이드메뉴 추가(콜라 사이즈 업,파 추가))"
80,맛있게 잘 먹었습니다 감튀가 산더미라서 좋았어요ㅎㅎ,순살 치킨/1(맛 선택(양념 한마리))
81,비가 많이 오는지도 모르고 배달 시켰는데.. 치킨이 따뜻한거 보고 너무 죄송했어요.. 배달해주신 기사님도 친절하셨구요 치킨 처음 주문해서 먹었는데.. 진짜 생각보다 너무 맛있었어요!! 감자도 들어있고 바삭한거 좋아하는데 딱 제 취향이였습니다ㅠㅠ 다른치킨 보다 간도 쎄지 않아 좋았어요 구석에 숨겨져 있던 찹쌀떡? 보고 감탄사 연발했네요ㅎㅎ 자주시켜 먹을거 같아요~~,"순살 치킨/1(맛 선택(순살치킨)),생맥주 1000cc/1"
82,튀김이 환상적이에요. 배달도 빠르고 맛있음!,"순살 치킨/1(맛 선택(후라이드＋간장),사이드메뉴 추가(머스타드 추가))"
