,리뷰,메뉴
106,안녕하세요.오늘 아침에 요기요 앱에서 카드결제하고 주문하고 취해서 잠들었는데 3번 전화오고 전화안받아서 폐기처리했다고합니다. 사장님께 죄송하다고 말씀드리니 어쩔수없는거라고 하셔서 돈만 날렸습니다. 제 잘못은 인정하지만 문앞에 걸어놓고 가시거나 안되면 다시주문하시면 뭐라도 챙겨주시겠다고했으면 좋았겠지만..상황대처가 굉장히 별로였던것같습니다.돈 날린건어쩔수없지만 마음도 같이 날아갔네요^^다시는 안시켜묵겠습니다^^수고하세요,양념치킨/1
107,맛있게 잘 먹었습니다 너무너무 맛있어요,두마리 순살（후라이드＋양념）/1
108,아완전 맛있어요 ㄱㅅ굿,두마리 순살（후라이드＋간장）/1
109,맛잇어요,두마리 순살（양념＋간장）/1
110,치킨 아주 맛있어요!,반반치킨（후라이드반＋양념반）/1
111,비린내도 너무 많이 나고 엄청 퍽퍽해서 남겼어요;여러분 이음식점 가지마세요...,양념치킨/1
112,새벽에 리버풀 맨시티 경기보면서 먹는데 머리카락 나오네요,두마리 순살 양념/1
113,👍👍👍👍👍👍👍👍👍👍,반반치킨（후라이드반＋양념반）/1
114,"튀김옷 반 고기 반 젓가락으로 긁으면 우수수 떨어짐. 몇몇 닭 질겨서 하루종일 입안에서 씹어야함. 간장이고 양념이고 이도 저도 아닌 그냥 애매모호한 맛. 브랜드 치킨집에서 알바 두세군데서 알바 2년정도 해봤는데, 대체 어느 업체에서 파는 닭이며 어느 부위로 만들었는지, 반죽은 어떻게해서 튀겨야 이런 치킨을 만들 수 있을까 궁금. 두마리치킨-콜라 큰거해서 24000원정도 결제했음. 이 가격이면 차라리 다른 브랜드 치킨 시켜 먹겠음. 도저히 24000원의 퀄리티가 아님. - 요약 - 장점 : 24시 단점 : 그 외 모든것","두마리 순살（양념＋간장）/1,콜라 1.25L/1"
115,좋습니다 배달도 빠릅니다,"후라이드 치킨/1,콜라 1.25L/1"
116,👍👍👍👍👍👍👍👍👍👍,반반치킨（후라이드반＋양념반）/1
117,"배달이 많은 날이라 좀 오래 걸렸지만 순살 시켰는데 양도 괜찮았고, 맛도 괜찮았어요!",두마리 순살（후라이드＋양념）/1
118,배달 양 맛 ㅅㅌㅊ임 여기만먹음,"두마리 순살（후라이드＋간장）/1,콜라 1.25L/1"
119,"배달도 느리고, 맛도 비리고 퍽퍽했으며, 양만 많았어요•••","반반치킨（후라이드반＋양념반）/2,콜라 500mL/1"
120,여기 맛 ㅍㅅㅌㅊ임 시켜드삼,두마리 순살（양념＋간장）/1
121,이 집 치킨이 질리기전까진 다른치킨은 배달 안시킬듯함,"순살반반치킨（후라이드반＋양념반）/1,양념소스/1,사이다 1.25mL/1"
122,양이 엄청납니다 최고에요 가성비 굳,순살반반치킨（후라이드반＋양념반）/1
123,설로만보다.뼈랑 있는게 더 맛있어요... 친절하고...상냥해서 좋았어요.,두마리 순살（후라이드＋간장）/1
124,굿x100000000000000,"순살반반치킨（후라이드반＋양념반）/1,양념소스/1,콜라 1.25L/1"
125,배달도빠르고맛도괜찮고완전마싯음,순살반반치킨（후라이드반＋양념반）/1
126,맛있었어요 다음에 또 사먹겠습니다,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
127,굿마시쪙@@@@@@,"순살반반치킨（후라이드반＋양념반）/1,사이다 1.25mL/1"
128,24시라 좋네요 맛이 좀 아쉽지만,두마리 순살（양념＋간장）/1
129,양이 확실히 많아서 다는 못먹었지만 좋았어용,"순살반반치킨（후라이드반＋양념반）/1,콜라 500mL/1"
130,거리가좀있는데도 배달도 빠르시고 친절합니다,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
131,여기 개맛있음 진짜 가성비 좋음,두마리 순살（후라이드＋양념）/1
132,맛있슴다,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
133,맛있다아아아아앙~~,두마리 순살（후라이드＋양념）/1
134,엥 .. 난 마싯게 잘 먹고 간장은 저번에 넘 약해서 진하게해달러니까 진하게와써요..마싯뉸딩,"두마리 순살（양념＋간장）/1,양념소스/1"
135,ㅎㅎ치킨 다 썩은남새나요 한입만 먹고 남새가 심해서 버렸음 새벽에도 배달 되니까 가끔씩 주문한는데 오늘부터 바이바이네요 ㅈㄴ 양심옶어 씨부아ㄹ,반반치킨（후라이드반＋양념반）/1
136,튀김 의 상태는 바삭함 그런데 아니게지만 다시 튀긴듯한 느낌이고 안의 살은 너무 퍽퍽해서 먹고 싶지 않게 왔고 양념의 소스는 바르는 수준으로 너무 적어서 3/1도 못먹었음 표현이 맞는지는 모르지만 조금 먹었는데 물리는 느낌임 양은 우와 까지는 아니지만 그런대로 많았음 나는 치킨의 튀김보다 소스 보다 고기를 중요하게 보는데 고기는 진짜 너무 아님 10조각 먹었나 못먹겠음,두마리 순살（후라이드＋양념）/1
137,맛은 있는데 양은 두마리가 아니고 한마리를 두군데에 옮겨 놓은ㄴ듯 하네요 그러나 늦은 시간에 배달해주셔서 감사합니다,두마리 순살（후라이드＋양념）/1
138,가성비 최고 입니다,"두마리 순살（후라이드＋양념）/1,양념소스/1,콜라 1.25L/1"
139,가격대비 양도 많고 튀김 옷이 두껍지 않으면서 바삭하니 아주아주 맛있으나 배달 한시간걸려 받았는데 배달분이 본인이 잘못가서 기다려놓고 짜증을 부리길래 당황하서 입씨름좀 했어요. 간장치킨 주문했는데 후라이드가 와서 매장에 전화 드렸더니 그냥 드실수 있으시면.. 이 충격이었어요. 배달시간이 늦어지면 추후 서비스 라던가 아니면 우선순위로 간장치킨만 따로 가져다 주시던가 정 아니다 싶어서 저희가 소스만 달라하니 오래 걸려도 이해해달라고 해서 친절하게 말씀은 하시나 배려도가 영 없고 다시 온 배달원은 또 불친절....,두마리 순살（양념＋간장）/1
140,오랜만에 파닭먹으니 맛있네요,두마리 순살（후라이드＋양념）/1
141,간장을 시켰는데 후라이드가 잘못온줄알았어요ㅡ 솔직히 간장맛하나도 안나요 강 후라이드 시킨셈치고 먹을게요,두마리 순살（양념＋간장）/1
142,늦은 새벽까지 배달해주시고 맛도 좋네여!,두마리 순살（후라이드＋양념）/1
143,한 달 사이에 대체 무슨 일이있었던거죠? 팝콘치킨만한 덩어리가 대부분에 튀김옷이 너무 많네요! 덩어리 절반은 튀김 옷인 듯. 여전히 맛은 좋지만 가격도 2000원이나 올랐으면서 이런 품질이면 다시는 주문 못할 것 같네요.,순살치킨/1
144,잘먹엇습니다!!!!!!!!!!!,두마리 순살（후라이드＋양념）/1
145,친구가 치킨치킨 거려서 시킴,"두마리 순살（후라이드＋양념）/1,치킨무/1,콜라 1.25L/1,사이다 1.25mL/1"
146,음식 편차도 크고 양도 차이가나고 콜라도 500ml라고 써있었는데 245ml가 왔어요..,두마리 순살（양념＋간장）/1
147,음식 편차도 많이크고 콜라도 500ml 라고 써있는데 245ml짜리가 왔습니다..,두마리 순살（양념＋간장）/1
148,👍👍👍👍 밤새고 아침 8시에 먹는 치킨 레알 맛있졍~~,순살반반치킨（후라이드반＋양념반）/1
149,잘 먹었어요.........,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
150,양이 푸짐 맛은 평범,"두마리 순살（양념＋간장）/1,콜라 1.25L/1,사이다 1.25mL/1"
151,솔직히 늦은시간에 시키는거라 기대안했는데 훌륭했습니다,순살반반치킨（후라이드반＋양념반）/1
152,맛도 좋고 양도 많아요,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
153,주소를 잘보시고 배달하세요! 추운날씨에 저와 배달아저씨를 서로 힘들게 하시네요!,순살반반치킨（후라이드반＋양념반）/1
154,맛있어욥,두마리 순살（후라이드＋양념）/1
155,맛있었습니다....,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
156,양도 대박 맛도 대박.. 양념은 살짝 닭강정 소스 비슷하고 튀김이 일단 너무 바삭해요. 저희 부모님고 야식 안 드시는데 맛있다고 하시네요!! 단골이 되겠습니다.,두마리 순살（양념＋간장）/1
157,늦은 시간대 시킬만함,순살반반치킨（후라이드반＋양념반）/1
158,엄청 맛있네요 아침에도 주문되고 좋아요,두마리 순살（후라이드＋양념）/1
159,리뷰보고 맛없으면 어쩌지? 했는데 새벽3시쯤 시켰는데 바삭하고 괜찮았어요 후라이드 간장 해서 두마리 시켰는데 간장은 아예 별로에요. 후라이드는 괜찮았어요. 참 그리고 양념소스는 꼭 따로 시켜야하나봐요 치킨 시켰는데 양념소스 안주는집 처음봤네요ㅋㅋ 시켜드실분들은 양념소스 추가하세요~,두마리 순살（후라이드＋간장）/1
160,와 제가 왜만하면 후라이드판데요 여기 양념이네요,두마리 순살（후라이드＋양념）/1
161,양도 많고 배달도 빨리 왔는데 기름맛이 좀 나요ㅜ 그래도 무난하게 괜찮습니다,반반치킨（후라이드반＋양념반）/1
162,아침에 시켰는데도 배달도 빠르고 치킨의 튀김이 너무 맛있네요. 친구들이랑 맛있다고 계속 얘기하면서 잘 먹었습니다. 양도 많고 특히 양념이 너무 맛있어요. 다음이 또 시켜 먹겠습니다. 추천!!,"두마리 순살（후라이드＋양념）/1,두마리 순살（양념＋간장）/1"
163,양도 많고 맛있었슴,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
164,맛있엇슺니다ㅠ랴두어댄,두마리 순살（후라이드＋간장）/1
165,잘 튀긴 치킨의 맛을 제대로 느낄 수 있어서 좋아요 ^^,"두마리 순살（양념＋간장）/1,콜라 500mL/1"
166,치킨뱅이 맛있어요~ 양도 푸짐하고 좋아여 골뱅이는 간이 약간 강해서 다음날 남은 양념에 골뱅이랑 소면 삶아서 더 넣고 먹으니 딱 좋네요. 그리고 골뱅이무침에 오징어채가 있었다면 식감과 맛이 더 좋아질듯해요~,치킨뱅이/1
167,냠냠냠 냠냠냠 냠냠냠,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1,사이다 1.25mL/1"
168,맛있게 잘 먹었습니다~~,순살치킨/1
169,괜찮은편.......,반반치킨（후라이드반＋양념반）/1
170,가성비 최고예요 ~,"두마리 순살（양념＋간장）/1,콜라 500mL/1"
171,늘 맛있게 먹고 있어요~~,순살치킨/1
172,맛이랑여,순살반반치킨（후라이드반＋양념반）/1
173,배달 거지같이오네요ㅋㅋㅋ 이거 구른거 같은데...,순살반반치킨（후라이드반＋양념반）/1
174,양 많고 맛 좋아요~~,순살치킨/1
175,음.. 이날만 그랬는지 양이 줄었네요.,순살치킨/1
176,이런게 혀르가즘.... 이런게 행복....? 참 좋다... 좋았다...,두마리 순살（후라이드＋간장）/1
177,거의 매주 시켜먹고 있네요~,순살치킨/1
178,오랜만에 치킨 먹고싶어서 시킴 간장이라 좀 짰는데 원래 짠거 드시는분들은 싱거울수도 저는 싱겁게먹는 편이라..ㅎ 양념치킨은 넘나 맛있는것ㅋㅋ 치킨 생각나면 또 시켜먹을께요~,두마리 순살（양념＋간장）/1
179,딱 맛나게먹었습니다 ㅋㅋ,"양념치킨/1,콜라 1.25L/1"
180,ㅡㅡ위생에신경좀쓰세요 와이프랑먹다가 그냥버렸네요,두마리 순살（양념＋간장）/1
181,delisious，,두마리 순살（후라이드＋간장）/1
182,치킨뱅이 또 시켰는데 이번에 양념이 좀 매웠어요 이번에 온 닭이 퍽퍽살 부위가 더 많았었던 느낌이 있고 콜라는 더 시원하면 좋겠어요,"치킨뱅이/1,콜라 1.25L/1"
183,치킨이랑 골뱅이 세트 존맛 또 시킬거야,치킨뱅이/1
184,배달원 사가지 조나 없내욘~치킨은맛있었어욤,두마리 순살（후라이드＋간장）/1
185,낮 시간에도 주문할 수 있어서 자주 이용하고 있어요~,순살치킨/1
186,맛있어요!! 양도 많고 양념도 맛있어요! 다음에 또 시킬 의항있습니다. 번창하세요옹~,순살반반치킨（후라이드반＋양념반）/1
187,그냥 그래요 그냥 그래요,반반치킨（후라이드반＋양념반）/1
188,딱 기본치킨맛 양념시켰는데 반반이왔더라고요 그래도 전화하니 양념이라도 더가져다주셨네 고생하세요,양념치킨/1
189,yummyyyuuu,"후라이드 치킨/1,양념소스/1,치킨무/1"
