,리뷰,메뉴
114,신촌점은 처음 주문해봤는데 맛있네요 :) 양도 적당했어요,순살 슈프림양념치킨/1
115,처음 먹어서 기대했는데 기대한 만큼 맛있었어요 근데 1인1닭도 못먹는제가 혼자 다먹을 만큼 양이 좀 아쉬웠어요 딱 열자마자 적어보이기도ㅠ햏구요,반반（순살후라이드반＋순살올리고당양념반）/1
116,맛있었습니다 배달도 빨랐고요,순살 슈프림양념치킨/1
117,저번이랑 똑같은 거 시켜먹었는데 왜 맛이 달라졌는지 모르겠어요...쫀득쫀득하지도 않고 양념이 맛있지도않고,The.화이트치킨（슈프림）/1
118,"아무리 지점간의 차이가 있다쳐도 슈프림""양념""치킨인데 소스를 너무 조금 뿌려주셨네요. 여름이긴하지만 미지근한 콜라는 처음받아 봤습니다.",순살 슈프림양념치킨/1
119,처음 먹어봤는데 너무 맛있고 배달원도 친절하셨어요 :),순살 슈프림양념치킨/1
120,진짜 맛있게 먹었습니다 처돌짱,순살 슈프림양념치킨/1
121,치킨졸맛탱 !!!!!,순살 슈프림양념치킨/1
122,배달이 좀 오래 걸렸는데 넘나 맛나요!! 초딩이 너무 좋아해요!!,슈프림 양념치킨/1
123,두마리치킨이라고 해놓고 한마리 양만 오네요 전화해서 물어봤더니 두마리치킨이지만 한마리 반 양이라고 하네요 양 적냐고 물어보지도 않았으면서 왜 양 적냐고 따지냐고 하네요 당연히 이름이 두마리니까 2마리가 온다고 생각하는게 정상아닌가요? 너무 어이가 없습니다 맛은 괜찮으나 다른 지점에 비해 튀김의 질도 많이 떨어지는것 같고 여기서 시킬 이유가 없는것 같아요,두마리순살세트（후라이드＋슈프림양념）/1
124,너무너무너무 맛잇어요ㅠㅠ최고에요,순살 슈프림양념치킨/1
125,맛있고 빠른배달 !!!!!,반반（후라이드반＋올리고당양념반）/1
126,맛있게 잘 먹었어요 근데 배달이 너무너무 늦었어요...,두마리순살세트（슈프림양념＋레몬파닭）/1
127,대체적으로 만족합니다,The.화이트치킨（슈프림）/1
128,맛나네요 감사합니다,"올리고당 양념치킨/1,파채 추가/1,무 추가/1,겨자소스/1"
129,순살 양이 너무 적어요 다음엔 그냥 뼈 있는걸로 시켜야겠습니다ㅠ,"반반（순살핫와락간장반＋순살슈프림양념반）/1,1.25L 판매 /1"
130,저는 맛있고 좋습니다!!,반반（후라이드반＋올리고당양념반）/1
131,맛맀러용ㅎㅎㅎㅎㅎㅎ,The.화이트치킨（슈프림）/1
132,배달이 느린 점 빼고는 맛도 양도 일반 처갓집들이랑 비슷한거같아요~,핫슈프림 양념치킨/1
133,처음 시켰는데 맛있네요 양념이 너무 맵지도 않고 맛있음,반반（순살와락간장반＋순살슈프림양념반）/1
134,배달기사님이 길을 잘 못찾.........,순살 슈프림양념치킨/1
135,확실히 양념은 여기네요. 이름 날릴만합니다!,"핫슈프림 양념치킨/1,참이슬/2"
136,맛있게 잘 먹고 있습니다~,순살 슈프림양념치킨/1
137,진짜 양 겁나작아요 태어나서 이렇게 양 작은 치킨은 처음봐요......,반반（순살후라이드반＋순살슈프림양념반）/1
138,맛잇어 처갓집 ㄷ좋아ㅐ,슈프림 양념치킨/1
139,배터질것 같은디 못멈추는 맛,순살 슈프림양념치킨/1
