,리뷰,메뉴
91,순살 양념은 맛있엇는데 갈릭은 순살은 퍽퍽했어요..,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋간장))
92,두마리 양도 많고 맛도 좋아요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
93,맛있습니다 항상 시켜먹어요,다리＋날개/1(다리＋날개 소스선택(매운간장))
94,오랜만에다른메뉴시켜봤는데 넘맛있게먹었네요..또시킬게요,스윗츠갈릭 뼈한마리＋안심텐더（소스선택）/1(텐더 소스선택(양념))
95,배달 빠르고 맛있게 잘 먹었어요,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋양념))
96,맛있어요! 땡초소스 많아서 눅눅해지는건 어쩔 수 없는 듯 여튼 만족,다리＋날개/1(다리＋날개 소스선택(땡초불꽃))
97,맛있구요 간장순살 대박,순살치킨/1(순살 소스선택(간장))
98,배달도 빨리와서 맛있게 잘먹었어요ㅎㅎ,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
99,"무엇보다 서비스로 받은 텐더가 진짜 맛있습니다. 우리가 생각하는 패스트 푸드의 퍽퍽한 가슴살이 아니고 진짜 부드러워요 간도 다 되있어서 소스가 필요가 없습니다, 치킨은 순살보다는 뼈가 더 나은것 같아요",순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋매운간장))
100,여러명이 먹어서 그런건지 두마리 양이 좀 아쉽기는 했지만 따뜻하게 배달왔고 맛있게 먹었습니다~,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋간장))
101,호식이는 두마리로 먹어야겠어요 한마리는 양이 너무 적은듯 ㅜㅜ,순살치킨/1(순살 소스선택(간장))
102,닭에서 닭잡내가 살짝 나네요 전엔 안그랬는데 그리고 좀 더 튀겼으면 좋겠어요,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋매운간장),추가선택(양념컵추가,콜라 사이즈업)),스프라이트 500mL¸/1"
103,텐더 존맛탱 진짜 맛있어요,뼈한마리 ＋ 안심텐더/1(뼈 소스선택＋텐더 소스선택(간장（뼈）＋후라이드（텐더）))
104,정신없이 먹느라 사진도 먹다 찍었어요ㅠㅠ 후라이드 양념 둘 다 넘 맛있습니다!!! 배달도 제 시간에 왔고 치킨도 눅눅하지않고 바삭바삭하게 잘 왔어요 다음에 또 시켜먹을게요~~,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념)),스프라이트 500mL¸/1"
105,리브보고 매콤간장소스 추가해서 먹었는되 맛있어용~~♡,뼈한마리/1(뼈 소스선택(매운간장))
106,배달하시는분도 친절하시고 치킨도 너무 맛있어요!!!텐더 잘먹겠습니다!!!,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
107,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,순살치킨/1(순살 소스선택(양념))
108,딱 호식이치킨 이네요 배달은 치킨 박스만 주시고 봉지는 안주셔서 아쉬움 ㅠ,뼈한마리/1(뼈 소스선택(후라이드))
109,간장텐더 JMTGR,뼈한마리 ＋ 안심텐더/1(뼈 소스선택＋텐더 소스선택(후라이드（뼈）＋간장（텐더）))
110,맛있어요~ 계속 이 지점에서 시켜요. 배달도 늘 빨라요!,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(후라이드))
111,주문이 많을 텐데 평소처럼 빨리 왔어요. 오늘도 맛있게 먹었습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋후라이드))
112,완벽..너무 맛있어요 닭도 새하얗고 매운간장 추천합니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장))
113,갓호식이 치킨 먹을라믄 무조건 매운 간장 짱,순살치킨/1(순살 소스선택(매운간장))
114,맛있게 넉넉하게 잘먹었어요~,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운양념))
115,배달도 빠르고 맛있었습니다!!,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
116,역시 호식이 양도 맛도 최고예요 닭도 안질기고 맛있어요 이제 치킨은 여기서만 시킬거예요!!!!,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장),추가선택(달콤마요소스추가))"
117,맛있습니다! 치즈볼 처음주문해보는데 만족합니다~,"순살치킨 ＋ 안심텐더/1(순살 소스선택＋텐더 소스선택(매운간장（순살）＋매운양념（텐더）),추가선택(트리플치즈볼))"
118,바삭바삭 맛있게 먹었습니다~~!! 새로나온 치즈볼도 찹쌀튀김이라 쫀득쫀득 맛있어요,"다리＋날개/1(다리＋날개 소스선택(간장),추가선택(트리플치즈볼))"
119,양이 넉넉해서 여럿이서 먹기에 너무 좋았어요. 특히 간장치킨 매우 맛있네요 다음에 또 먹을 것 같아요.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
120,역시 맛있는호식이~~^^ 아니 치즈볼까지 이렇게 맛있어서야...ㅜㅜ 리뷰 이벤트로 콜라까지 사이즈업하니 금상첨화임다~~^*^감사합니다~~~,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋후라이드),추가선택(트리플치즈볼))"
121,간장은 역시 호식이죠 ㅋㅋ,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(간장＋간장)),콜라 1.25L¸¸/1"
122,맛:왜 방금 배달이왔는데 닭이 차갑죠??? 더워서 차갑게해다주신건가요??? 가격: 호식이도 예전같지않음 양: 그냥 쏘쏘 호식이는 퍽퍽살이지 배달: 쏘쏘,"불짬뽕뼈한마리 ＋ 뼈한마리（소스선택）/1(뼈 소스선택(간장),추가선택(무추가))"
123,맛있게잘먹었ㄱ습니다,순살치킨/1(순살 소스선택(간장))
124,기사님 친절하시고 잘 먹었어요. 조금 아쉬웠던 점은 매운간장치킨이 다 그런건 아니고 3~4조각이 유난히 너무 질기고 딱딱해서 한 입먹고 버렸어요. 다음 주문시에는 좀 신경써 주세요.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
125,역시 호식이 👍👍 북가좌점이 젤 맛있는 것 같아요!!,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(매운양념＋간장))
126,즐겨먹고있어요. 후라이드+스윗츠갈릭 세트 추천요!,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(후라이드))
127,맛있게 잘 먹었습니다,뼈한마리/1(뼈 소스선택(매운양념))
128,간장도 너무 쎄지 않고 적당해서 좋았어요! 맛있게 잘 먹었습니다~:),순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋간장))
129,좋아요 좋아요 맛있어요,안심텐더 ＋ 안심텐더/1(텐더 소스선택＋텐더 소스선택(후라이드（텐더）＋간장（텐더）))
130,예전에 다른 지점에서 호식이를 먹었을 때 그리 좋은 맛이 아니어서 이후엔 구매 리스트에서 제외했었는데 북가좌1호점은 평이 너무 좋아서 주문해보았습니다. 역시 평이 좋은 집은 믿을만하네요. 특히 매운간장 치킨이 굉장히 맛있었습니다. 요청사항에 기재한 내용도 잘 들어주시고 배달원분도 굉장히 친절하셨어요! 손으로 직접 쓰신 편지도 감동이었습니다. 번창해서 돈 많이 버셨으면 좋겠습니다ㅎㅎ,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
131,호식이는 이 집에서만 시켜먹어요. 항상 만족합니다~,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
132,맛있게 해주셔서 감사합니다. 잘먹었습니다 다음에 다른맛도 먹어봐야겠네요 배송도 빠르고 배송기사도친절하셨습니다. 다만점입니다.,"순살치킨 ＋ 안심텐더/1(순살 소스선택＋텐더 소스선택(간장（순살）＋후라이드（텐더）)),콜라 1.25L¸¸/1"
133,리뷰가 늦었어요 ㅠㅠ 역시 믿고먹는 호식이 그중에서도 북가좌점 최고!!먹느라 사진을 못찍얶어여 ㅠㅠ 텐더 진짜 마싯어요 ㅠㅠ,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(매운양념))
134,너무너무 맛있어요 ㅎ 배달도 예정시간에 딱 오고 ㅎㅎ 하나 아쉬운점 있네요 ㅠ 매운간장치킨 좀더 매웠으면 ㅠ.ㅠ.. 그거 빼곤 별⭐️⭐️⭐️⭐️⭐️개용,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장)),스프라이트 1.5L¸/1"
135,술이 부족해서 ::::,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋간장)),콜라 1.25L¸¸/1,생맥주 1000cc/3"
136,역시 호식이 간장은 최고!,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(매운간장))
137,1인분도 부담없이 배달해도 된다는 문구가 편해서 좋았어용ㅎ 정성스런 손편지에 치킨도 깔끔하고 맛있었습니다!,순살치킨/1(순살 소스선택(양념))
138,배달은 빨랐는데 양념 맛이 지난번과 좀 다르게 느껴지네요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
