,리뷰,메뉴
301,배달도 예상시간보다 빠르고 ㅁ맛있어요~,"순살맛초킹/1,케이준프라이/1"
302,항상 잘먹고 있습니다,맛초킹（한마리）/1
303,너무맛이출중하여 글을남김,커리퀸/1
304,처음 먹어보는데 맛있어요 구우우욷 치밥하고 있습니당,맛초킹（한마리）/1
305,나가야 되서 쫌 오래걸린다길래 취소하려고 했는데 금방 갖다주신다고 하셔서 삼십분만에 받았어요 넘 감사해요ㅠㅠ 뚜껑 열어서 냄새 맡았을 땐 이게 뭐지 싶었는데 맛은 생각보다 맛있어서 완전 맛있게 먹었어요~!! 담에도 또 시킬 예정ㅎㄹ,
306,치킨 조각 사이즈가 너무 차이 나네요,"커리퀸/1,맛초킹（한마리）/1"
307,먹느라 클리어 인증샷을 남기게 되었네요 생각보다 맛있어요 첫입은 달아서별로였는데 게속땡기는 맛아네요 갈비맛도나고 맛나요 배달도 생각보다빨랐네요 질먹었습니다~~,"맛초킹（한마리）/1,뿌링치즈스틱/1"
308,맛있게 잘먹었습니다 배달 당연 스피드하고요,순살맛초킹/1
309,맛있게 잘먹었습니다 배달 당연 스피드하고요,순살뿌링클/1
310,아니 요청사항에 반반해달랬는데 걍 양념 띡...은 뮌가요? 요청내역도 고대로 인쇄했더만.. 신경을 안쓰는건지..,"양념치킨/1,치킨무/1"
311,빠르고 양 많습니다.,맛초킹（한마리）/1
312,항상 잘먹고있습니다,커리퀸/1
313,닭사이즈가 제각각이네요,커리퀸/1
314,맛도 좋고 양도 좋고 배달 시간도 빨라서 좋았어요~~,"해바라기후라이드치킨（제）/1,양념소스/1"
315,항상 맛초킹만 시켜 먹는데 깨끗하고 맛나요.,순살맛초킹/1
316,맛있게.잘먹었습니다 ㅋ 감사합니다~~~,순살뿌링클/1
317,맛있는 가재울점 추천합니다,스윗츄/1
318,맛나용!!!!!!!!!!!!!,순살커리퀸/1
319,배달도 빠르고 항상 맛있어요,후라이드 반／양념 반/1
320,갈비레오 맛나네요^^,
321,양념이 다소 염분이 높지만 좋아요,뿌링클/1
322,맛초킹 처음 주문했는데 깐풍기 맛도 나고 맛났어요 다음에 또 시킬려구요,맛초킹（한마리）/1
323,좀 오래 기다렸지만 맛있었어요,치레카/1
324,맛있어요배달도빠르고친절해요,맛초킹（한마리）/1
325,생각보다 양이 많지는 않았지만 맛있습니다.,해바라기후라이드치킨/1
326,주말이라그런지몰라도 1시간20분만에왔네요 맛은 맛있었습니다~,맵스터/1(옵션선택(기본))
327,맛있어요 역시 뿌링클 ;),뿌링클/1
328,배달시간도 딱 맞게 오고 엄청 바삭바삭하고 맛있어요,후라이드 반／양념 반/1
329,배달 엄청빠르고 양념 처음먹었는데 엄청 맛있네요ㅎㅎ,후라이드 반／양념 반/1
330,역시 뿌링클이네요 맛있어요,뿌링클/1
331,거의다먹어가여함냐함냐 여러분뿌링치즈스틱제발드세여개맛탱,"순살뿌링클/1,뿌링치즈스틱/1,사이다1.25L¸/1"
332,맛나게 먹었습니다^^,맛초킹（한마리）/1
333,눅눅하여 느끼함이 조금 있었습니다.,치레카/1
334,치킨 완전 맛있어요,"뿌링클/1,콜라1.25L¸/1"
335,뿌링클은 사랑 입니다 ㅎㅎㅎ 맛나요,뿌링클/1
336,아주 맛있어요 또 사묵을께영,뿌링클/1
337,간장치킨맛이 제대로네요~ 살짝매콤한정도라 느끼하지않고 맛있어요 배달은45분정도소요된다고하셨는데 그정도걸렸어요,맛초킹（한마리）/1
338,역시마초킹마시썽 키키또마셔야징,맛초킹（한마리）/1
339,맛있게 잘먹었어요~^^,치레카/1
340,항상 맛있게 먹고있습니다.,해바라기핫후라이드치킨/1
341,항상 가까워서 이용 잘 하고 있습니다,해바라기핫후라이드치킨/1
342,앗있어요 치킨은 어제나ㅎㅎ,"맛초킹（한마리）/1,뿌링클/1"
343,Goodgoodgood,"뿌링클/1,소주/1"
344,먹다보면 너무 느끼해요 ㅠ,해바라기핫후라이드치킨/1
345,맛나요 또 생각나요ㅠ 츄릅,뿌링클/1
346,Goodgoodgood,"맛초킹（한마리）/1,뿌링클/1"
347,맛있고 양념이 좋아요,"후라이드 반／양념 반/1,달콤바삭치즈볼/1,양념소스/1"
348,첨 먹어보는데 생각보다 맵네요..ㅋㅋ 고추가 넘 많이들어간듯,"순살맛초킹/1,콜라1.25L¸/1"
349,뿌링클 맛있어요ㅎㅎ,뿌링클/1
350,마싯쪙 마싯쪙 또 먹고파요,뿌링클/1
351,전화주문할때보다 양이 적은것같은...,스윗텐더/1
352,치킨 이즈 뭔들! 최고입니다 맛있게 잘 먹었어영 ㅋㅋㅋ,"뿌링클/1,해바라기후라이드치킨（제）/1,달콤바삭치즈볼/1,양념소스/1,커리딥소스/1,뿌링뿌링소스/1"
353,맛있고 신속한배달이 좋았어요,치레카/1
354,오늘은 조금 느끼하더라구여 ㅠㅠ 그래도 맛있게 먹었습니다 배달 55분 걸린다 하셨는데 약 25분만에 왔어용 비 오는데 빨리 갖다주셔서 감사해요~,뿌링클/1
355,급하게 먹느라 사진이 없네요 ㅜ.ㅜ 맛초킹은 언제나 사랑입니다♡ 항상 맛있게 먹고있습니다 배달하시는분도 너무 친절!! 시간도 안내해주신거보다 빨리왔구요 :),맛초킹（한마리）/1
356,여기서 내입맛엔 뿌링클 달달하니 맥주와 딱인듯 ㅎㅎ,뿌링클/1
357,굿.,순살바삭클/1
358,사진은 못찍었ㅇㅓ요 그리고 오늘 할인 굿,해바라기핫후라이드치킨/1
359,배달은 늦습니다 배달시간 문자보다 15분정도 늦게오고요 양은그럭저럭입니다 맛은 양념을 묻히다만듯하더라구요,맛초킹（한마리）/1
