,리뷰,메뉴
85,맛 양 배달 모두다 좋았어요,핫크리스피치킨 버켓세트/1
86,배달이 빨라서 좋았습니다,블랙라벨치킨 6조각/1
87,버거가 다 식어서 왔어요,"NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(환타오렌지교환)),NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(환타오렌지교환))"
88,배송잘왔고요 쫌 식어서오긴했지만 맛있었어요,"갓양념치킨 4조각/1,롱치즈스틱/1,콘타르트/1,콘샐러드/1"
89,간식으로 잘 먹었습니다.,NEW 징거버거/3
90,맛있어요 맛있어요,블랙라벨치킨 6조각/1
91,배달이 빨라서 좋네요,"핫칠리씨치킨6조각/1,비스켓/1"
92,kfc는 원래 맛있습니다. 신규입점 해서 그런지 지금 더 좋습니다. 깔끔하니 좋네요,New 패밀리팩/1
93,333335555588889680,"New 치킨도버거도팩/1,블랙라벨치킨 1조각/1,스위트칠리소스/1,버터/1"
94,맛있어요 맛있어요~,"Best 디저트팩/1,NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(스프라이트교환)),올쉐킷치즈/1"
95,항상배달도빠르고좋습니다,"핫크리스피치킨 1조각/4,코울슬로/1,페트콜라（500ml）/1"
96,다좋은데 감자튀김이 매장에서 나온지 40분뒤에 먹는맛이에요 아쉽습니다,"Best 디저트팩/1,NEW 징거더블다운맥스/1,NEW 타워버거/1"
97,배달 빠르고 맛나요!,"Best 디저트팩/1,오리지널타워버거 세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),후렌치후라이（L）/1"
98,맛있고 좋습니다 .,오리지널치킨 1조각/6
99,진짜 베리굿 블랙라벨로만 시켜먹을래여,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,버터/2"
100,최고 케이에프시 씨,New 패밀리팩/1
101,잘 먹겠습니다☆☆☆☆☆☆,"블랙라벨치킨 1조각/2,오리지널치킨 1조각/2,비스켓/2"
102,배송도 빠르고 만족스럽습니다,"New 치킨도버거도팩/1,비스켓/1,아이스아메리카노/1"
103,저번에 치킨 주문했을땐 따뜻하고 맛있었는데 오늘은 모든 음식들이 미지근해요ㅜㅜ 감자튀김도 안에 감자가 바삭한게 아닌 튀긴 시간이 많이 지난 감자튀김처럼 사각사각 소리가 날 정도로 사과 씹는 식감이고 차갑고 맛이 없어 다 버렸습니다. 세트 말고 단품으로 시킬걸 그랬어요.,"Best 디저트팩/1,트리플리치오리지널버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거더블다운맥스/2"
104,자알 맛있게 먹었어요~^^,"New 치킨도버거도팩/2,핫윙 4조각/1,통오징어바이트 5조각/1,치킨너겟 6조각/1"
105,아주상당히 맘에듭니다,"블랙라벨치킨 1조각/3,NEW 타워버거/1"
106,아주 맛있게 잘 먹었습니다,Best 버거팩/1
107,ㅣㅟㅢㅓㅢㅢㅓㅢㅢㅢㅚㅢㅓ,핫크리스피치킨 1조각/7
108,ㅐㅢㅓㅢㅟㅢㅓㅢㅢㅓㅢㅢㅐㅢㆍ,"NEW 타워버거/1,NEW 핫치즈징거버거/1,NEW 징거버거/1"
109,역시 징거버거~ 잘먹었습니다.,"NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
110,항상 맛있고 빨라요,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,NEW 타워버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(콜라)),통오징어바이트 10조각/1"
111,배달이 빨라서 좋았습니다.,Best 치킨팩/1
112,배달빠르고 맛있어요! 배달료 안 받는게 제일 좋움,"NEW 핫치즈징거버거세트/2(사이드변경(후렌치후라이),음료변경(콜라))"
113,할인할때 주문했는데 후기에 에그타르트 맛있다고 해서 주문해봤는데 전 너무 달아요~ 다시 주문해 먹지는 않을것 같아요,"Best 디저트팩/2,에그타르트/3"
114,배달빠름 맛있어요.,"Best 디저트팩/1,갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/2"
115,1+1 로 잘받았습니다 만족합니다,오리지널치킨 1조각/6
116,kfc는 그냥 갓양념만 믿고가자,"갓양념치킨 1조각/4,핫크리스피치킨 1조각/2,오리지널치킨 1조각/2"
117,"메뉴선택 실패,, 블랙라벨치킨은 개인적으로 별로였어서요 다른메뉴에 훨씬 나아서ㅜ","블랙라벨치킨 1조각/4,핫크리스피치킨 1조각/1,버터/1"
118,잘 먹었어요 냠냠긋,"Best 디저트팩/3,에그타르트/1"
119,에그타르트 맛집ㅇㅈ,"에그타르트/4,비스켓/1,코울슬로/2,버터/1"
120,또시킬듯......,"Best 디저트팩/1,핫칠리씨치킨1조각/1,NEW 징거버거세트/1(사이드변경(통오징어바이트 5조각교환),음료변경(스프라이트교환)),버터/1"
121,잘먹었습니다 bbb,"블랙라벨클래식버거단품/2,버터/3,딸기잼/2"
122,할인행사로 적당한 가격에 맛있게 먹었습니다.,"블랙라벨 에그타워버거세트/1,오리지널타워버거/1"
123,맛있게 잘먹었습니다 잘먹었습니다,핫크리스피버켓¸/1
124,갓양념치킨 개존맛... 콘티르트보다는 에그가 나아요,"갓양념치킨 1조각/1,NEW 징거버거/1,콘타르트/2,에그타르트/2"
125,잘먹었어요 수고하세요,"블랙라벨치킨 1조각/2,블랙라벨 에그타워버거/1,통오징어바이트 5조각/1"
126,치킨할인쿠폰으로 착한 가격에 맛나게먹네요~,"블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,롱치즈스틱/2,코울슬로/1"
127,흠 현금결제 대비해서 거스름돈 들고다니지 않나요? 오늘 5만원지폐로 결제했는데 거스름돈 없다해서 10분 정도 기다렸네요,"NEW 핫치즈징거버거/1,NEW 징거버거/1,트위스터/1,비스켓/1"
128,브어어ㅓㅓㅓㅓㅓㅓ억,"오리지널타워버거 세트/1(사이드변경(텐더떡볶이교환),음료변경(콜라)),트리플리치오리지널버거/1"
129,브어어ㅓㅓㅓㅓㅓㅓㆍ억,"블랙라벨 에그타워버거/1,NEW 징거더블다운맥스/1,올쉐킷치즈시즈닝/1"
130,맛있게 먹었습니다!,"NEW 타워버거세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환)),통오징어바이트 5조각/1,비스켓/2,버터/1"
131,kfc좋네요~~~~~,"블랙라벨클래식버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거버거/1"
132,구웃,"New 치킨도버거도팩/1,텐더떡볶이/1,스위트칠리소스/1,버터/1"
133,양 완전 많고 이거ㄹㅇ 개꿀맛 꼭 더블징거 먹ㅇㄷ세요,"NEW 징거더블다운맥스세트/1(사이드변경(후렌치후라이),음료변경(콜라)),치킨너겟 6조각/1,후렌치후라이（L）/1"
134,배달빠르고 맛있어요,"핫크리스피치킨 4조각/1,NEW 타워버거/1"
135,맛있게 잘 먹었습니다. 나중에 치킨만 주문해봐야겠어요.,"블랙라벨치킨 1조각/1,블랙라벨클래식버거세트/1(사이드변경(통오징어바이트 5조각교환),음료변경(콜라)),텐더스트립스 2조각/1,올쉐킷치즈시즈닝/1"
136,감자 라지로 변경했는데 기본으로 왔네요 음료는 얼음 다 녹고 김 다 빠져서 옴 패스트푸드는 대행 안쓰시는게..,"NEW 징거버거세트/1(사이드변경(후렌치후라이（L）교환),음료변경(환타오렌지교환)),치킨불고기버거/1,통오징어바이트 10조각/1"
137,빠른 배달 따뜻한 음식 감사요,"블랙라벨치킨 1조각/2,트리플리치오리지널버거세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),스위트칠리소스/1"
138,빠르게와서 좋았어요! 맛있게먹었늡니다,"Best 치킨팩/1,NEW 징거버거/1"
139,맛있게 잘 먹었습니다,"NEW 타워버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(환타오렌지교환)),텐더떡볶이/1,아이스아메리카노/1,생수/1"
140,빨리 잘왔어요ㅎ역시 치킨은 KFC,"New 치킨도버거도팩/1,코울슬로/1,콘샐러드/1"
141,"햄버거 세트 주문시 거리, 배달시간 등 이런걸 고려해봤을때 콜라 대신 생수로 변경 할 수 있으면 좋겠습니다. 얼음 거의 다 녹고 밍밍한 콜라 먹느니..;","트위스터세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거더블다운맥스/1,코울슬로/1"
