,리뷰,메뉴
83,돈까스는맛있는데 돼지갈비찜 포장 뜯고 뚜껑 여는순간 돼지냄새가......결국 그대로 가져다가 버렸네요 먹어보지도못하고 쓰레기통에 돈버린기분,"돼지갈비찜/1(사이즈 선택(小)),고구마까스/1,사이다 500mL/1"
84,맛도 양도 적당해요..,"치즈까스/1,함박스테이크/1,베이컨볶음밥/1"
85,고구마돈까스시켰는데 잘못배달왔네요,"고구마까스/1,부대찌개/1,사이다 500mL/1"
86,진짜 너무맛있네요 돈까스도 두툼하고 냄새도안나고 부대찌개 내용물이 많아놀랐어요!! 사진보다 양 더 많아용ㅎㅎㅎㅎ 자주 시킬게요,"수제등심돈까스/1,부대찌개/1"
87,배달도 빠르고 맛있어요,삼계탕/1(삼계탕 사이즈 선택(1마리))
88,배달 속도나쁘지않았고 맛도괜찮습니다,"생선까스/1,스팸김치찌개/1"
89,배달도빠르고 맛나오,"새우까스/1,물냉면/1"
90,소곱창전골에 김치 마니달라고했는데 이렇게 마니주실줄 몰랐어요 ㅋㅋ감사해요ㅋ 오자마자 곱창 머겄는데 맛있네요ㅎ 바로 해서 갖다주셔서 완젼 뜨겁고 조아요 담에 또 시킬게요ㅎ,소곱창전골/1(사이즈 선택(小))
91,양도푸짐 배달도빠르고 맛도 만족,"김치볶음밥/1,제육볶음정식도시락/1"
92,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,수제등심돈까스/2
93,ㅌㅊㅌㅌㅊㅊㅌㅊㅊㅊ,수제등심돈까스/2
94,맛있어요.아자아자자,물냉면/3
95,맛있어요.ㅋㅇㅋㅇㅇ,수제등심돈까스/3
96,맛있게잘먹었습니다~~,"생선까스/1,부대찌개/1"
97,배달도 빠르고 맛있어요,"수제등심돈까스/1,부대찌개/1"
98,옛날엔 맛있었는데 뭔가 맛이 떨어진 느낌이에요;;;개선 부탁드려요;;;,"참치김치찌개/1,새우까스도시락/1"
99,넘 나 맛 이 있 습 니 다 아,"수제등심돈까스/1,김치볶음밥/1"
100,치즈돈까스 겁나맛있음 제육볶음은별로,"치즈까스/1,제육볶음덮밥/1"
101,김치찌개 다신안먹습니다 다버렸어요 제육볶음은 계속보고싶은 맛이내요 잘먹었습니다.,"제육볶음덮밥/1,김치찌개/1"
102,배달은 빨라서 좋았는데 부대찌개 맛이없음,"치즈까스/1,새우볶음밥/1,부대찌개/1"
103,여기서 오랜만에 시켜보네요 김치볶음밥 너무 싱거워요 돈가스는 넘 맛있어용....,"수제등심돈까스/1,김치볶음밥도시락/1"
104,순두부..엄청 싱거워요...ㅠㅠ,"고구마까스/1,새우까스/1,해물순두부/1"
105,치킨도 파는줄 몰랐는데 맛있음,순살양념치킨 반＋순살간장치킨 반/1(추가 주문(콜라 1.25L로 변경))
106,ㅠㅠ 국물에서 벌레나왔어요.. 속 버렸어요..,"치즈까스/1,고구마까스/1"
107,맛과 양은 그냥 저냥 집 대발원은 굳,
108,자두시켜먹고싶은데 배달이안될때가ㅜ많네요 ㅠㅠㅠㅠ그래도 맛나게 잘먹엇네용!,"고구마까스/1,스팸햄볶음밥/1,김치찌개/1"
109,정말 맛있었요~~~짱,"（물,비）냉면＋석쇠불고기/1(메뉴 선택(비빔냉면))"
110,有中国人吗 好吃啊这个 点啊,"（물,비）냉면＋석쇠불고기＋야채세트/1(메뉴 선택(물냉면))"
111,진짜 맛있었엉!!!!,"만두김치찌개/1,주먹밥/1,계란찜/1,사이다 1.25L/1"
112,배달빠르고 좋네요 영도 많고 맛있게 잘먹어요....,"부대찌개/1,김치볶음밥도시락/1"
113,완전완전 맛나요..,"（물,비）냉면＋석쇠불고기/1(메뉴 선택(물냉면)),주먹밥/1"
114,맛잇어요 배달이 너무 오래걸리긴하지만 다좋아여,"치즈까스/1,고구마까스/1"
115,배달이 빨리 와서 좋았습니다,"순살후라이드치킨/1,순살양념치킨/2,순살간장치킨/1"
116,진짜 맛있었요~~~~~,"（물,비）냉면＋석쇠불고기/1(메뉴 선택(비빔냉면)),주먹밥/1"
117,맛있게 잘 먹었네요 ㅅㄱ하세요,"수제등심돈까스/1,순두부/1,계란찜/1"
118,^^^^^^^^^^,후라이드치킨＋양념치킨/1
119,맛도 양도 괜찮았는데 배달이 넘 오래 걸렸네요.,순대곱창볶음/1(사이즈 선택(小))
120,맛있게 잘 먹었습니다. 푸짐합니다~,"수제등심돈까스/1,오징어볶음덮밥/1,된장찌개/1,공기밥/1,계란찜/1"
121,배달도 빠르고 맛도 좋앗어요,"물냉면/1(추가 선택(불고기 추가)),비빔냉면/1,공기밥/1,계란찜/1,콜라 1.25L/1"
122,새벽에 잘 먹었습니다.,반반치킨（후라이드치킨 반＋간장치킨 반）/1
123,많이파세요 나쁘진 ㅏㄴㅎ네요,"수제등심돈까스/2,고구마까스/1"
124,늦게까지해서 좋음!!!,"오징어볶음덮밥도시락/1,베이컨볶음밥도시락/1"
125,가게에서 손님들이랑 너무 맛있게 먹었어요! 순대가 좀더 들어갔으면 좋았을텐데하고 아쉽기도했는데 또 시켜먹을의사있습시다,순대곱창볶음/1(사이즈 선택(小))
126,완전 맛있어요 (물냉 강추!) 양도 많고요! 배달 좀 더 빨랐음 좋겠어요..ㅠㅠ,"스팸김치찌개/1,물냉면/1,공기밥/1,계란찜/1"
127,맛있어요 시켜먹길 잘햇네요,순살후라이드치킨＋순살간장치킨/1
128,찌개 양이 되게 많아요 잘먹었습니다,"고구마까스/1,만두김치찌개/1"
129,很好 强烈推荐 刷屏刷屏 一定要尝尝冷面烤肉他家的,"해물순두부/1,（물,비）냉면＋석쇠불고기/1(메뉴 선택(물냉면))"
130,给你们所有人推荐 一定要尝尝 good,"（물,비）냉면＋석쇠불고기＋야채세트/1(메뉴 선택(물냉면))"
131,very good很推荐他家 给你们所有人推荐,"순두부/1,（물,비）냉면＋석쇠불고기＋야채세트/1(메뉴 선택(물냉면))"
132,진짜 맛없고 별로여서 먹다 버렸어요 특히 해물 볶음밥,"해물볶음밥/1,소불고기덮밥/1"
133,배달이 너무나 늦습니더,"순살양념치킨＋순살간장/1,계란찜/1"
134,맛있게 잘 먹었습니다,"양념치킨/1,주먹밥/1"
135,맛은 좋았는데 양이좀..,"제육볶음덮밥/1,소불고기덮밥/1,주먹밥/2"
136,적당히 먹을만했어요,"골뱅이무침/1(사이즈 선택(小)),콜라 500mL/1"
137,새벽에 되는데길래 시켜먹었는데 괜찮았어요,후라이드치킨/1
138,야밤에 식사 그 이상도 그 이하도 아닌...ㅎㅎㅎ,"제육볶음덮밥도시락/5,오징어볶음덮밥도시락/5"
139,좀 깜짝 놀랏네요 치킨 완젼맛남!!,"순살후라이드치킨 2마리/1,제육볶음덮밥/1"
140,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,양념치킨＋간장치킨/1(추가 주문(콜라 1.25L로 변경))
141,ㅎㅎㅎㅎㅎㅎㅍㅎㅎㅎㅎㅎ,순살후라이드치킨＋순살간장치킨/1(추가 주문(콜라 1.25L로 변경))
142,야밤에 간단한 식사로 주문하기 좋습니다,"제육볶음덮밥도시락/5,오징어볶음덮밥도시락/5"
143,333 최고의 조합치킨,순살양념치킨/1
144,배달 빠르고 진짜 맛있었어요 ♥️,"수제등심돈까스/1,부대찌개/1"
145,여기서 후라이드치킨 많이 먹는데 조금 간이 쎄요 그래도 맛있습니다,
146,맛있어요!!!!,반반치킨（후라이드치킨 반＋양념치킨 반）/1(추가 주문(파 추가))
147,늦게까지 하는게 우선 좋았음,
148,비오는날 날도 늦었는데 배달하시는분 너무 친절하셨어요 감사합니다 조심히다니세요ㅠㅠ 치킨도 맛있었는데 저 평소에도 되게 짜게먹는편인데 조금 짯어요!,간장치킨/1
149,며칠전에 주문했었는데 김치찌개 맛있고 양진짜많아요!!,"수제등심돈까스/1,김치찌개/1"
150,한달에 3-4번시켜 먹는데 부대찌개 완전 맛있어요~^^ 양도 많아요 ㅎㅎ,
151,👍👍👍 메뉴가 다양해서 좋음,"된장찌개/1,보쌈정식도시락/1"
152,맛있어요!!!,
153,👍👍👍👍👍👍,"치즈까스/1,해물된장찌개/1"
154,4번째 주문👍👍👍👍,양념치킨 반＋간장치킨 반/1
155,3번째 주문👍👍👍,"치즈까스/1,스팸김치찌개/1"
156,두번째 주문,"새우튀김/1,해물순두부/1"
157,맛있어요!,"해물볶음밥/1,김치찌개/1"
158,존나맛있나,
159,ㅇ,"고구마까스도시락/1,보쌈정식도시락/1,사이다 1.25L/1"
160,치킨이 밀가루 반죽인지 치킨 이구별 안될정도로 많이없어요 ㅠㅠㅠ 반도 몬먹고 버렷습니다 ㅠㅠ,양념치킨＋간장치킨/1(추가 주문(콜라 1.25L로 변경))
161,도시락메뉴 추천!,
162,제육덮밥 괜찮네요,"수제등심돈까스/1,제육덮밥/1"
163,무난하게 짜요,
164,엉망징창,반반치킨（후라이드치킨 반＋간장치킨 반）/1(추가 주문(콜라 1.25L로 변경))
165,밥 안에 머리카락 들어가 있어서 토할 뻔했어요 ㅠㅜ 그리고 배달한 사람이 잔돈도 없고 잔돈을 바꾸러 간다고 1시간 후에 돌아왔고 태도까지 완전 나빳어요. 이 집은 진짜 다시 주문 안할거다,
166,배달을 해서 편하게 먹을수 있지만 그냥 우리가 흔히 먹을수 있는 그런 돈까스,"수제등심돈까스/1,치즈까스/1"
167,....,
168,된장찌게가 완성이 않됐으면 주질 말던가 허연 빨간물이 된장찌게입니까 ...멀건 국입니까,
169,낙지볶음...낙지5개 역대급창렬도시락 8000원..,낙지볶음정식도시락/2
170,그냥급할때먹을만합니다,
171,먹을만..해물된장이 더 괜찮음..,
172,배달은 한시간 넘어서 오고 맛도 없고 음식은 심지어 하나 덜 오고... 진심으로 여기서 돈 준다고해도 다시 안 먹어여 쓰레기같애,"치즈까스/1,고구마까스/2,순두부/1"
173,장어덮밥은 장어몇조각들어간 그냥 초고추장맛 비빔밥입니다. 절대일본식장어덮밥이 아니에요. 낙지볶음은 맛있었습니다. 뭐랄까 맛있다기보다 평범... 장어덮밥충격이 너무커서 낙지볶음이 되게 맛있게 느껴졌어요. 홍x드 돈까스규동 이후로 최대충격입니다. 별두개는 하나주려다 그나마 낙지볶음때문에 하나 올려드림...,"낙지볶음정식도시락/1,장어덮밥/1"
174,배달언제오나요?,"참치김치찌개/1,소불고기볶음정식/1,콜라 1.25L/1"
