,리뷰,메뉴
70,소스가 매콤한게 아니라 씁쓸해요 볼케이노치킨 자주 먹는데 그맛이 아니에요 파인애플 덩어리 너무 싫어요ㅠㅠ 이건 갠취 빵이 베이킹 초보자가 실수한듯 딱딱하네용 할인받아 먹는데도 짜증났어요 치즈도 없네욬ㅋㅋㅋㅋㅋㅋㅋ 거의 안느껴져요 날더운데 따뜻히 가져다 주셔서 감사해요 굽네본사가 욕심히 앞섰나봐요 레시피가 똥이니 별수 없겟죵 이제 치킨만 먹고 모험은 이걸로 됬어용ㅠㅠ,볼케이노 피자/1
71,새로 나온 피자 맛있네요,고추바사삭＋허니멜로 피자/1
72,맛있어요~양은 그냥 미디움사이즈 정도예요~맛은 정말 갈비천왕맛이요 ㅋ,갈비천왕 피자/1
73,볼케이노 피자 맵고 맛있어요 별로 안매우면 핫소스 뿌려먹을라 했는데 필요없어요 ㅋㅋ 그리고 심지어 도우도 맛있네요 수색증산점은❤ 볼케이노 치킨도 맛있고 피자도 맛있어요,"볼케이노 피자/1,피클/1,갈릭디핑 소스/1,핫소스/5"
74,맛있게 잘 먹었어요~,굽네 볼케이노 순살/1
75,맛있게 먹었어요 감사합니다,갈비천왕 피자/1
76,소떡 맛있어요 닭에서 비린내나요ㅠ... 저는 그래도 먹었는데 엄마는 한입 먹고 안 드셨어요..,"반반B다리）오리지널 반＋갈비천왕 반/1,매콤치즈소떡소떡/2"
77,매콤달달하니 맛이좋아요,굽네 핫 갈비천왕 순살/1
78,맛있고 배달도 빨랐어요,굽네 볼케이노/1
79,양은 적었지만 맛있었어요 아이가 잘 먹네요,굽네 갈비천왕 순살/1
80,고추바사삭은 언제 먹어도 진리에요! 짱짱,굽네 고추 바사삭/1
81,이틀만에 재주문했는데 30분뒤에 품절이라고 하시면.. 그동안 기다린 시간은 머가 되나요.. 품절이 날수는 있지만 그럼 바로 연락주셔야 안기다리죠..,굽네 갈비천왕/1
82,맨날 시켜요 배달도 빠르고 존맛!,굽네 고추 바사삭 순살/1
83,사진을 못찍었으마 이 집 치킨은 그냥 믿고 막어도 됩니다 맛 양 배달속도 등등 높은 점수 드립니다,굽네 마라 볼케이노/1
84,항상 잘 시켜먹고 있습니다!,굽네 오리지널/1
85,언제나 맛있습니다..,두마리）볼케이노＋갈비천왕/1
86,행사때 주문한거였는데도 배달 빠르고 배달 해주신 분이 사장님이신지 너무 친절하셨어요 감사합니다!!,"굽네 고추 바사삭 순살/1,굽네 웨지 감자¸¸¸/1,굽네 구운계란 2개 추가/1"
87,배달도 빨리와주셔서 좋았구요 맛있어요!!,굽네 볼케이노 순살/1
88,"마라볼케이노는 볼케이노 소스 안준대요. 다른 지점은 주던대,, 근데 맛은 여기가 훨씬 맛있어요 배달도 빠르구여",굽네 마라 볼케이노/1
89,일단 볼케이노 맛있구여^-^ 빨간 프라스틱 용기에 담아주는걸로 바뀐거 넘 맘에 들어요 깔끔해보이고 좋아용 ㅎ,굽네 볼케이노/1
90,감사합니다욯ㅎㅎㅎㅎㅎㅎ,"굽네 갈비천왕 순살/1,배달생맥주 1000ml¸/1"
91,정말 맛나요 번창하세요,굽네 볼케이노 순살/1
92,잘 먹었습니다 굽네는 순살이 더 좋아요,굽네 볼케이노 순살＋모짜렐라 치즈/1
93,잘먹었습니다~~~~,굽네 고추 바사삭/1
94,배달 오자마자 순삭 시켜버려따...👍,두마리）볼케이노＋갈비천왕/1
95,갈비천왕 더 맛나진듯요,굽네 갈비천왕/1
96,맛있었음~~ 배달도 빨랏음,굽네 고추 바사삭/1
97,맛있었습니다. 오랜만에 먹으니 더 맛있어서 완전 흡입ㅎㅎㅎ,"굽네 고추 바사삭/1,굽네 구운계란 3개 추가/1,갈릭디핑 소스/2,코카 콜라 500ml/1"
98,맛잇게 먹었습니다~,굽네 갈비천왕 순살/1
99,맛이정말좋습니다아아,"굽네 볼케이노 순살/1,추가-마그마소스/1"
100,고추바사삭 핵맛탱👍👍,"굽네 고추 바사삭/1,사이즈업 콜라 1.25 L ¸/1"
101,아주 맛있게 잘 먹었습니다,굽네 고추 바사삭/1
102,맛있게 잘 먹었어요,굽네 갈비천왕/1
103,행사할때여서 그런지 뼈부위가 많아서 먹을게 별로 없었어요. 앞으론 신경써주세요.,굽네 갈비천왕/1
104,피자는 영 아니네요. 17000원 내고 먹긴 에바같아요. 갈릭소스도 안왔어요. 여러분은 치킨드세요....,볼케이노 피자/1
105,맛있게 잘 먹었습니다 감사합니다,굽네 고추 바사삭 순살/1
106,역시 너무 맛있네요 늦은시간에도 빨리 배달해주셔서 너무 감사합니다^^,굽네 갈비천왕/1
107,초복에 2시간걸려서 배달왔네요~ 맛은 걍 ....,굽네 갈비천왕/1
108,기본 맛은 좋은데 소스가 별로.. 배달은 예상시간에 정확하게 도착,굽네 고추 바사삭/1
109,갈비천왕 역시 단짠단짠 매력적인 맛,굽네 갈비천왕/1
110,맛있습니다 ~~~~~,굽네 오리지널/1
111,배송빠르고 맛있어요~,"굽네 핫 갈비천왕 순살/1,햇반 추가（쌀:국내산）¸/1,매콤치즈소떡소떡/1"
112,모든게 좋았네요 ㅎㅎ,굽네 갈비천왕/1
113,다른 굽네지점은 그냥 종이박스에 보내줬다는데 여기는 일회용플라스틱그릇에 담아주었네요,굽네 갈비천왕 통다리/1
114,고추바사삭이 없어서 시켜봤는데 치즈때문에 렌지 돌리고 나니 별로더라고요. 치즈없이 없는게 나을 것 같아요.,"굽네 볼케이노 순살＋쌀떡볶이/1,모짜렐라치즈/1"
115,쿠폰대란때 다른데서 주문했다가 양도 적고 음식도 식고 별로라 초복도 넘어가려고 했는데 치킨 땡겨서 주문했어요 평소 주문할때랑 양도 같고 따끈하게 배달해주셔서 불금에 퇴근하고 치맥 잘 했습니다~!! 혼자먹기는 많아서 남았는데 소스가 넉넉해서 낼 밥 볶아먹으려고 손질해놨네요ㅎㅎ,굽네 갈비천왕/1
116,초복에는 치킨시켜먹기가 힘드네요,굽네 갈비천왕/1
117,배달 빨라서 좋았습니다 양도 많았어요,굽네 고추 바사삭/1
118,배달이느려서 실망이네요 ㅜ,굽네 볼케이노 순살/1
119,고추바사삭 처음 먹어봤는데 맛있어요,굽네 고추 바사삭/1
120,첨엔 바삭했는데 먹을수록 눅눅한 느낌이 좀 있어서 아쉬웠어요~ 그래도 잘 먹었어요~,굽네 고추 바사삭 순살/1
121,맛있어요 배달빠르고,"두마리）오리지널＋볼케이노/1,쌀떡볶이/1"
122,정말로최고의맛입니다,굽네 볼케이노 순살/1
123,식으면 아아아주 약간 닭냄새가 나지만 촉촉하고 양도 많고 너무너무 맛있엇어용!! 번창하세요,굽네 고추 바사삭/1
124,너무 맛있어요 소스가 쫌 부쥭해요,굽네 고추 바사삭 순살/1
125,존 맛 탱 고 추 바 사 삭,굽네 고추 바사삭 순살/1
126,"치킨은 말할필요 없이 맛나고 , 피자 처음먹어봤는데 맛있습니다 도우가 담백해요~ 고구마는 달달하고","허니멜로 피자/1,굽네 스윗 볼케이노 순살/1,피클/1,스프라이트 355ml/1"
127,맛은있었는데 닭이 살이 좀 없더라구요ㅠㅠ 이부분 빼고는 다 괜찮았어요~~감사합니다!,반반A다리）오리지널 반＋볼케이노 반/1
128,딸랑구들을 위해~~오늘도 ㅋㅋ 매일 매일 먹고 싶다하네요~~ㅜ 저 꼬꼬 알은 엄마가 호로록 했네요~~,"굽네 허니멜로/1,사이즈업 콜라 1.25 L ¸/1"
129,매운데맛있어요 그냥먹으면맛이덜하니 마그마소스꾹~~찍어드셔요 소스조아요 입술이퉁퉁부었어요 ㅎㅎ,굽네 볼케이노/1
130,겉은 바삭 속은 촉촉하게 잘되서 맛잇게먹엇습니다,"굽네 고추 바사삭 순살/1,사이즈업 콜라 1.25 L ¸/1"
131,믿고먹는 굽네 고추바사삭ㅠㅠㅠ 배달해주시는 분도 친절하시고 좋았어요><,굽네 고추 바사삭/1
132,맛은 괜찮은데 양이 너무 적어요,굽네 갈비천왕/1
133,맛있다... 진짜 ㅜㅜㅜㅜㅜㅜ 흑흑,"굽네 스윗 볼케이노 순살/1,갈릭디핑 소스/1"
134,볼케이노역시맛있고요 배달도빨라서좋았습니다,굽네 볼케이노/1
135,맛잇게 먹엇습니다.,"굽네 볼케이노 순살/1,추가-마그마소스/1"
136,끄어어어어어어어오오오엌,"굽네 오리지널 통다리/1,매콤 소스 추가/1,추가-스윗마그마소스/1"
137,"굽네고추바사삭 순살 구성: 코카콜라245ml, 소스 x 2 , 치킨무.계란 기타: 식감이 바삭바삭 , 속은 쫄깃쫄깃 다른굽네 매장보다 조금 더 치킨양이 많은거 같음. 조금 더 골고루 바삭하게 하면 식감이 좋을꺼 같음.",굽네 고추 바사삭 순살/1
138,"양은 솔직히 적다, 근데 맛은 최고임!!! 또 먹고싶다",굽네 핫 갈비천왕 순살/1
139,언제나 너무 맛있어요,굽네 볼케이노 순살/1
140,믿고먹는 갈비천왕..,굽네 갈비천왕 순살/1
141,ㄲㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,굽네 고추 바사삭/1
142,역시 맛나요. 수색 증산점 최고입니다,굽네 오리지널/1
143,굽네는 볼케이노가 맛있습니다.,굽네 볼케이노 순살/1
144,맛있어요. 배달도 빨라요.,두마리）오리지널＋갈비천왕/1
145,역시 증산점이 최고입니다 같은 체인인데 다른곳 시켰다가 깜작 놀랜적이 있어요 맛이 너무 달라서요 증산점이 남다르게 맛있네요,굽네 고추 바사삭/1
146,새로운맛으로 새로운즐거움,"굽네 양념 치킨 순살/1,반반B다리）오리지널 반＋갈비천왕 반/1"
147,ㅏㄴ긐ㄷㄱ적드긴ㄱㄴ,"굽네 갈비천왕 순살/1,사이즈업 콜라 1.25 L ¸/1"
148,친절하시고 맛있습니다,반반A）오리지널 반＋볼케이노 반/1
149,계란이 없어서 아쉽네요,굽네 고추 바사삭/1
150,다음엔 볼케이노로 먹어보고 싶어요,굽네 고추 바사삭/1
151,양도 많고 배달도 빨라용 맛있어요,굽네 오리지널/1
152,맛있어요!! 불닭발 맵지만 맛있습니다,굽네 불닭발¸¸/1
153,오랜만에 먹은 볼케이노 역시 맛있습니다.,굽네 볼케이노 순살/1
154,간만에 먹었는데 맛있게 잘 먹었습니다.,굽네 고추 바사삭 순살/1
155,맛있게 잘먹었습니당 맛있어서 그런가 양은 조금 작은느낌이ㅋ,반반A）오리지널 반＋볼케이노 반/1
156,일주일에 한번은 먹는 치킨~~요번주에는 딸아이가 음청 좋아하는 굽네 허니멜로~~맛 최고 배달 최고~~다음주에 또 주문합니다.,"굽네 허니멜로/1,사이즈업 콜라 1.25 L ¸/1"
157,맛있어요~~~~맛있어요~~~~맛있어요~~~~,굽네 갈비천왕 순살/1
158,맛잇어요 코카콜라 ㅋㅋ,굽네 고추 바사삭 윙/1
159,괜찮아요,반반A）오리지널 반＋볼케이노 반/1
160,고추바사삭 jmt 왤케 맛있게 잘해주시는거죠 또 시켜야돼ㅠㅠ,굽네 고추 바사삭/1
161,핵꾸우우우우울맛♥️♥️♥️,굽네 스윗 볼케이노/1
162,역시 굽네치킨 오리지널 존맛탱,굽네 오리지널/1
163,이제보고 올리네요 그래서사진은 없지만 갈비천왕 치킨 아이가 밥한공기 뚝딱했네요,굽네 갈비천왕/1
164,고추 바사삭이 젤 맛나네요. 언제 먹어도 질리지 않아요.,"굽네 고추 바사삭 순살/1,굽네 케이준 감자¸/1"
165,처음 먹어보는데 맛있네요!,굽네 고추 바사삭/1
166,갈비천왕 피자도 치킨도 정말 맛ㅇㅆ어요,굽네 갈비천왕/1
167,굽네는 순살이 좋음,굽네 고추 바사삭 순살/1
168,솔직히 가격대비 양이 좀 아쉽게 느껴지지만 맛만큼은 확실한것같음. 부담이 되지만 맛있게 먹고 싶을때 한번씩 시켜먹는것도 나쁘지않은것같음,"반반C순살）볼케이노 반＋갈비천왕 반/1,햇반 추가（쌀:국내산）¸/1,쌀떡볶이/1"
169,진짜 치밥 개쩔어요 여러분 이건 진짜 갈비인가 치킨인가 수0왕갈비 죄송해료 진짜 굽네갈비천왕 너무좋아요 핵존맛 꼭 치밥드세요,"굽네 갈비천왕 순살/1,햇반 추가（쌀:국내산）¸/1"
170,양도 많고 진짜 기름기 적당ㅎ 빠져서 잘 배달왓네요,"굽네 오리지널/1,굽네 웨지 감자¸¸¸/1"
171,맛나요ㅡ매운맛도조으다,"굽네 볼케이노＋쌀떡볶이/1,사이즈업 콜라 1.25 L ¸/1"
172,큰딸아이가 너~~무 좋아하는 치킨 세상에서 젤~~맛있다구 하네요~~ㅋㅋ 굽네 허니멜로~~맛있게 잘 먹었네요~~^^,"굽네 허니멜로/1,사이즈업 콜라 1.25 L ¸/1"
173,닭이 좀 작았지만 맛있었습니당,굽네 고추 바사삭/1
174,맛나요........,굽네 스윗 볼케이노/1
175,good,굽네 볼케이노 순살/1
176,갈비천왕은 너무 달기만해서 심심 했는데 핫갈지 딱 내수타일,굽네 핫 갈비천왕/1
177,깔끔하고 담백하고 맛있어요,굽네 오리지널 순살/1
178,굽네 지점마다 조금씩 차이는 있겠지만 왠만하면 거의 맛있는것같아요. 증산점은 저한테는 개인적으로 맛에서 완벽해요. 너무너무 맛있어요.^^ 배달해주신분이 사장님같으신데 친절하시구요~ 자주 시켜먹을께요~번창하세요~~,굽네 볼케이노/1
179,순살 반반 시켸 먹었는데 맛있습니다 대박~~^* 입니다,반반A순살）오리지널 반＋볼케이노 반/1
180,이벤인데도 평소보다 빨리 와 주셨네요,굽네 갈비천왕 순살/1
181,맛있어여 잘먹었음다~~,굽네 볼케이노/1
182,맛있게 먹었습니다. 처음 먹어봤어요.,굽네 고추 바사삭/1
183,항상 너무 맛있게 먹어요ㅠㅠ,굽네 고추 바사삭 윙/1
184,마시쪄얀 ㅎㅎㅎㅎㅎㅎ,굽네 스윗 볼케이노 윙/1
185,마시쩌영ㅎㅎㅎㅎㅎㅎㅎ,굽네 스윗 볼케이노 윙/1
186,굽네는 무조건 수색증산점에서!!,굽네 고추 바사삭 윙/1
187,배달도 빠르고 역시 좋네요,굽네 고추 바사삭/1
188,맛있어요!근데 물렁뼈가 너무 많았어요ㅜ,굽네 고추 바사삭/1
189,지점마다 맛차이가 좀 있는데 증산점은 맛있어요,굽네 고추 바사삭 윙/1
190,또 시켰는데 처음 먹은것처럼 똑같이 jmt 요새먹은것중 제일 마있었다 ㅠㅠ 이젠 무조건 순살로 볼케이노도 추천 모짜렐라도 좋아하시면 추천,굽네 볼케이노 순살＋모짜렐라 치즈/1
191,너무 맛있게 잘해주셔서 내일 또 시킬거라고 다짐,굽네 볼케이노 순살＋모짜렐라 치즈/1
192,볼케이노 맛있어요 굽네치킨이 젤 맛있는것 같아요,"반반A）오리지널 반＋볼케이노 반/1,배달생맥주2000ml/1"
193,ㅋㅋㅋ웨지감자 맛있어요!!!!,"굽네 오리지널/1,굽네 웨지 감자¸¸¸/1,굽네 구운계란 3개 추가/1,코카 콜라 500ml/1"
194,"까다로운 중2아들이 엄지척을 한 치킨이라면 더 설명할 필요 있을까요? 정말 맛있고, 무엇보다 빨리 배달해 주셔서 감사합니다! 한창 식욕이 왕성한 아들이라 다음에는 두마리씩 주문해 달라네요ㅎㅎ","굽네 갈비천왕/1,사이즈업-사이다（스프라이트）¸/1"
195,고추바사삭최고~~~,굽네 고추 바사삭 윙/1
196,친절하심,굽네 고추 바사삭/1
197,역시 고추바사삭 ~~맛있어요,
198,너무 맛있게 잘 먹었어요!!,굽네 허니멜로 순살/1
199,맛도 있고 배달 빨라서 좋아요. 근데 양이 더 많음 좋겠어요...ㅎ 순살이라 그런가 양이 엄청 적더라구요. ㅜ,"굽네 갈비천왕 순살/1,사이즈업-사이다（스프라이트）¸/1"
200,배달도 빠르고 맛도좋아요~ 다음에는 갈비맛으로 먹어봐야겠네요,반반A）오리지널 반＋볼케이노 반/1
201,맛있네요 잘먹엇어요,"굽네 오리지널 순살/1,굽네 볼케이노 순살/1,배달생맥주2000ml/1,처음처럼/1"
202,역시 치킨은 다리♡,굽네 갈비천왕 통다리/1
203,배달은 느렸지만 맛있엇어욥,"굽네 고추 바사삭/1,추가-마그마소스/1"
204,"배달도 빠른편, 친절하시고 맛도좋아서 기분좋게 먹었어요^^","굽네 허니멜로/1,각무 추가/1"
205,감자튀김 많긴한데.. 약간 딱딱한것두잇아욤 맛은 괜찮아요!,"굽네 허니멜로 통다리/1,굽네 케이준 감자¸/1,코카 콜라 500ml/1"
206,맛잇어요 역시 굼네,굽네 오리지널/1
207,근처 굽네중에 치킨 살이 제일 맛있어요 촉촉한데 겉은 바삭하고 한번도 실망한적이 없는 집이에요,
208,첫주문이었는데 완전맛있게 잘먹었어요~~~^^,"굽네 고추 바사삭 윙/1,굽네 케이준 감자¸/1"
209,마싯어요 단짠단짠하게,"굽네 갈비천왕/1,굽네 구운계란 3개 추가/1,햇반 추가（쌀:국내산）¸/1,왕중왕 소스 추가/1"
210,맛있었어요♡*'^'*♡,"굽네 고추 바사삭/1,코카 콜라 245ml/1"
211,수색점은 빨간플라스틱에 안담아주시나봐요 ㅠㅠ 종이가 눅눅해져서 ㅠㅠ 아쉽네요,"굽네 볼케이노 윙/1,코카 콜라 500ml/1"
212,뻑살 왜이리 많죠,굽네 고추 바사삭/1
213,치킨은 역시 굽네치킨!,반반A）오리지널 반＋볼케이노 반/1
214,정말 맛있어요^^~~~,굽네 딥치즈/1
215,맛있어요 :) ~ 배달도 빠르고,굽네 오리지널/1
216,담백하고 맛있어요~~,굽네 고추 바사삭/1
217,"배달속도, 맛 비교적 괜찮았어요","반반B）오리지널 반＋갈비천왕 반/1,딥치즈＋케이준 감자/1,달콤 소스 추가/1"
218,맛잇고 배달 빨라요,굽네 고추 바사삭/1
219,보장된 맛과 서비스까지 시킬때마다 맛있게먹고 있습니다. 감사합니다^^,굽네 고추 바사삭 순살/1
220,자세히 구분이 어렵지만 맛있어요.,굽네 핫 갈비천왕/1
221,항상맛잇어요ㅡ고추바사삭순살이요ㅡ 근데ㅡ순살주문은없네요ㅠ 왜일까요? 다른거로해서ㅡ추가금액지불하고ㅡ주문햇는데 불편하네요ㅠ,굽네 고추 바사삭 윙/1
222,사진을 못찍었네요.. 사장님 너무너무 친절하시고 진짜맛있게 잘먹었습니다ㅎ,"굽네 볼케이노 순살＋모짜렐라 치즈/1,모짜렐라치즈/2,사이즈업 콜라 1.25 L ¸/1"
223,맛있어유 근데 좀 식어서 왔어유 ㅠ,굽네 볼케이노 순살/1
224,좋았어요.서비스도 좋구요.ㅎㅎ,굽네 스윗 볼케이노/2
225,배달 빠르게 와서 좋고요 맛도 좋고 서비스도 정말 좋아요. 사징님 짱 !!*,굽네 허니멜로/1
226,굽네는 사랑이죠 너무맛있었습니다 또시킬게용,"굽네 오리지널/1,추가-마그마소스/2,배달병맥주¸¸¸¸/1"
227,처음 먹어 보는 고추 바사삭이었는데 너무 맛있었어용!!,"굽네 고추 바사삭/1,딥치즈＋웨지 감자/1"
228,볼케이노 더 매워진건가요.....맵네,"굽네 딥치즈 순살/1,굽네 볼케이노 순살＋모짜렐라 치즈/1,쌀떡볶이/1"
229,배달빨라요!!!!!,굽네 고추 바사삭/1
230,달력 감사합니댜:) 수색점 양 젛아여,굽네 고추 바사삭/1
231,맛있습니다 감사합니다,굽네 갈비천왕 순살/1
232,굿~~~ 입니다 .번창하세요,"굽네 오리지널/1,배달 소주¸¸/1"
