,리뷰,메뉴
152,맛있게 먹었습니다~ 배달기사님께 죄송하다고 전달해주시면 감사하겠습니다ㅠ 인터폰이 고장나서 공동현관 문이 한번에 안열려서요ㅠㅠ 다시 인터폰 하실줄 알고 기다렸는데 살짝 텀이 있다가 다시 인터폰 하시더라구요ㅠ 밖에서 오래 기다리게 해드려서 죄송합니다ㅠㅠ 마침 제가 통화중이라 죄송하단 말도 못드리고 기사님 뵙고는 쉿표시를 해버려서 아차했어요.. 배달기사님께 꼭 죄송하다고 전해주세요ㅠ,뿌링클/1
153,배달도 예상시간보다 빨리왔고 치킨도 방금튀겼는지 김나고 엄청 뜨거웠어요. 다음에 또시킬려구요,"뿌링클다리¸/1(추가메뉴(뿌링뿌링소스)),달콤바삭치즈볼/1,콜라1.25L¸/1"
154,허겁지겁 먹느라 처음에 사진을 못 찍었네요. 맛있습니다 정말로용,"해바라기후라이드치킨/1,콜라500ml/1"
155,우리 딸이 뿌링클 노래를 불러 한번 시켜봤는데 맛이 없는건 아닌데 내 스타일은 아니네요..,뿌링클＋뿌링치즈볼/1
156,맛있게 잘 먹었습니다.,뿌링클/1
157,역시 맛있어요~~~~~~,"뿌링클/1(추가메뉴(뿌링치즈볼)),뿌링치즈스틱/1"
158,마라칸이 호불호가 갈리는,"마라칸다리/1,뿌링미니콜팝/1"
159,맛초킹시킨다는게 뿌링클시켜는데 완전맛있네요 배달아저씨도 너무친절하고 앞으로도 응암점으로 주문할께요,"뿌링클＋뿌링감자/1,빨간소떡/1"
160,맛있네요 다음에 또먹을게요,"해바라기후라이드치킨/1,콜라1.25L¸/1"
161,잘먹었어요~~~~좋아여~~,"뿌링소떡/1(추가메뉴(뿌링소떡)),뿌링감자/1,뿌링치즈볼/1(추가메뉴(뿌링치즈볼))"
162,완전 맛있어요~ㅎㅎ,뿌링클＋뿌링소떡/1(추가메뉴(뿌링감자))
163,양도 많고 바삭하고 맛있었어요~ 조금 매웠으면 더 맛있었을것 같아요!,맛초킹（한마리）/1
164,예전에는 퍽퍽살도 부드러워서 좋았는데 요즘은 너무 퍽퍽해서 콜라랑 먹기도 약간 힘드네요..,뿌링클/1
165,배달하시는 분도 친절하고 치킨도 맛나용,"순살맛초킹/1(추가메뉴(치킨무)),해바라기후라이드치킨/1(추가메뉴(양념소스))"
166,오랜만에 뿌링클 맛남,"순살뿌링클/1,케이준프라이/1"
167,맛있어요!! 뿌링치즈볼이랑 매운소떡 처음 시켜먹는데 진짜 맛있어요ㅋㅋㅋㅋㅋ 할인받아서 저렴하게 주문했고 배달도 잘해주셨어요!! 다음에 또 시킬게요,"빨간소떡/1,뿌링치즈볼/1,달콤바삭치즈볼/1,뿌링뿌링소스/1"
168,배달도 빠르고 맛도 최고에욤,"미니콜팝/1(추가메뉴(뿌링뿌링소스,뿌링소떡,빨간소떡,뿌링치즈볼))"
169,역시 치킨은 멀먹어도맛있음ㅎ,치하오/1
170,맛있게 잘 먹었습니다,"맛초킹（한마리）/1,해바라기후라이드치킨/1"
171,"너무맛나요,또 먹고싶어요",해바라기후라이드치킨/1(추가메뉴(뿌링치즈볼))
172,치하오 보다 먹을만 했습니다 쯔란 좋아하시는 분들은 즐겨 드실수 있을거 같아요,마라칸/1
173,좀 늦긴했는데 맛있어요,뿌링클/1(추가메뉴(뿌링치즈볼))
174,배달도 빠른 편이었고 매번 친절하게 가져다주시고 맛도 있어서 BHC는 여기만 주문합니다....담에도 주문할게요!,"뿌링소떡/2,뿌링치즈볼/2,치킨무/1"
175,이 동네에서 응암행복점이 젤 나은듯ㅎㅎ,"뿌링클/1,사이다1.25L¸/1"
176,특이하니 맛있네요 ㅎㅎ,마라칸＋치즈볼/1(추가메뉴(뿌링감자))
177,뿌링소떡이 너무 맛있어요..치즈볼도 원래 좋아해서 잘먹었습니당,"뿌링소떡/1,뿌링감자/1,달콤바삭치즈볼/1(추가메뉴(뿌링소떡))"
178,쁘링클은 사랑입니다^^ 치즈볼도 맛있어용,"뿌링클/1,달콤바삭치즈볼/1"
179,마라칸 맛있어요 소스가 딱 그맛~~,마라칸/1(추가메뉴(뿌링소떡))
180,음 역시 bhc는 저한테 맵스터가 진리. 마라칸도 맛은 있는데 쯔란같은 향이 더욱 강했으면 어쩔쓸까하네요 하지만 중식 좋아하시는분께 추천드리지만 집에 쯔란에 찍어서 드셔야헐듯,마라칸/1
181,배달해주시는 아저씨께서 너무너무너무 친절하세요!! 덕분에 기분좋게 잘먹었습니다 치킨은 항상 바삭하고 맛있어요 :),뿌링클/1
182,죽여줘요~^^ 어떻게 이렇게 맛있을 수 있어요~ 이렇게 맛있는 치킨 처음이라고 우리 아들이 말했어요,뿌링클＋뿌링감자/1(추가메뉴(치킨무))
183,배달도 정해진 시간에 양도 푸짐,뿌링클다리¸/2
184,맛있어용 여기서만 시켜먹을듯!,뿌링클날개¸/1
185,좀 짜네요 치즈볼은 양에비하면 너무 비싼거같아요,순살맛초킹/1(추가메뉴(뿌링치즈볼))
