,리뷰,메뉴
104,바쁘신 상황속에서 상세한 답변 감사했습니다. 맛있게 잘 먹었고 다음에 재주문 하겠습니다.,순살 양념/1(콜라 변경(콜라 1.25L 로 변경))
105,치킨 맛이고 뭐고 밑에 리뷰보니까 사장님이 친절하다는 댓글이 있네요? 배달실수를 하셨으면 죄송하다는 말이 먼저나오셔야죠 주문이많이밀렸다고요?계좌이체해드릴까? 다음주문시 깍아준다구요? 이런 전화응대서비스로 내가 여기또 시키고 싶겠습니까? 콜라대짜로변경한거라 그냥 넘어갈수도있었는데 어이가없어서 그냥 갖다달라고 했습니다 콜라그거 다시 갖다주는데 50분이 걸리네요 치킨 이미 다먹었습니다 ㅋㅋㅋㅋㅋ 동생이 페리카나먹고싶다해서 주문해준건데 주문해준내입장도 미안할정도네요 장사잘하세요,순살 양념/1(콜라 변경(콜라 1.25L 로 변경))
106,몇번을먹어도 양념은 페리카나~~,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
107,평범한 치킨스타일이에요,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
108,맛있게 먹었어요.....,반반치킨/1
109,페리카나 항상 맛있어요 흠잡을곳이 없어요,양념치킨/1(콜라 변경(콜라 1.25L 로 변경))
110,할인해서 시켰는데 최악입니다 치킨이 뼈만있는 조각들로 잔뜩 오네요,양념치킨/1
111,맛나게잘먹엇음요~~,순살 양념/1
112,치킨은 맛있고 다 좋은데 닭가슴 싫어서 양념윙 시켰는데 그냥 양념반후라이드반이 와써용,페리윙 양념/1
113,후라이드는 맛있는데 양념은 흠,반반치킨/1
114,배달 완전 빠르고 빨리와서 그런지 엄청 바삭하고 인생칰힌 만남!!!!,양념치킨/1
115,매번 부드럽게 요청 하는데 아주 부드럽게 잘 왔습니다. 사장님 신경 써 주셔서 감사합니다.,순살 양념/1
116,역시 양념 소스맛나네요 담엔 양념도시켜야겠네요~,두마리치킨1세트（후라이드＋후라이드＋콜라 1.25L）/1
117,양념이 제 입맛엔 조금 짰어요 나머지는 굿굿굿!!,순살 양념/1
