	리뷰	메뉴
80	"맛은 치킨맛. 양은 가성비 매우 좋고, 배달은 예상시간안에 와주셨다."	순살3마리（후라이드＋양념＋간장）/1
81	치킨무 추가시켰는데 안왔어요 기사님하네 바로 전화했는데도 받지도 않으시고 자주시켜먹던곳이라 더 실망스럽네요	"순살2마리（후라이드＋양념）/1,치킨무/1"
82	맛나용 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ	순살2마리（후라이드＋양념）/1
83	맛 진짜 없어요 양은많고 맛은없고..정말...	순살2마리（후라이드＋양념）/1
84	빨리왔고 맛 괜찮았어요	순살3마리（후라이드＋양념＋간장）/1
85	맛있어요 24시간해서 좋아요	순살2마리（후라이드＋양념）/1
86	감사합니다. 감사합니다.	순살2마리（양념＋간장）/1
87	"그냥 친구들과 먹기 딱좋네요. 다만 간장치킨이 살짝 아쉬워, 저나 친구들 모두 후라이드, 양념부터 다먹었네요 다음에 또 시킬의향 있으나 간장은 안시킬래요"	순살3마리（후라이드＋양념＋간장）/1
88	배달도 빠르고 맛있어요 또 시킬게요!	순살2마리（양념＋간장）/1
89	잘먹었어요 ㅎㄹ 또 주문할께요	순살3마리（후라이드＋양념＋간장）/1
90	생각외로 맛나네용ㅎㅎ	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
91	맛있닼ㅋㅋㅋㅋㅋㅋㅋㅋ	순살3마리（후라이드＋양념＋간장）/1
92	순살~ 양념은 맛있는데 고기가 조금 팍팍했어요 ㅠㅠ 배달은 완전 빨랐어요!!	순살2마리（양념＋간장）/1
93	소스 많이 달라고 했는데 예전엔 솔직히 그래도 적었는데 지금은 많이 괜찮아진 것 같아요. 양념은 괜찮은데 간장이 매번 너무 후라이드 같아서 짜증났고든요.. 그래도 이젠 잘 발려서 간장 맛은 나요. 다만 양념처럼 살을 찍어먹을 수 있는 그 정돈 아니고 간장이 꼼꼼하게 발려서만 와서 아직도 좀 아쉽긴해요	순살3마리（후라이드＋양념＋간장）/1
94	10명이 먹을거라 3마리 주문했어요 다들 맛있대요	순살3마리（후라이드＋양념＋간장）/1
95	맛있게 잘먹었어요.	순살2마리（후라이드＋양념）/1
96	쟐먹엇어요!!!!!	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
97	치킨은 진리입니다.	"순살2마리（후라이드＋양념）/1,콜라 1.25L/1"
98	너무너무 괜찮앜ㅅ어요 진짜 맛있어요	양념치킨/1
99	양도 많고 괜찮았습니다	순살3마리（후라이드＋양념＋간장）/1
