,리뷰,메뉴
100,후라이드랑양념은 진리 입니다!!,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(양념치킨))"
101,역시 멕시카나 은평점 맛있었습니다. 또 시켜 먹을게요~~!!,양념치킨/1(추가메뉴(무추가))
102,먹다찍었습니당:) 맛있어요!,"순살반반/1(순살반반 선택(순살후라이드 반,순살허니벌꿀 반))"
103,맛있었습니다아으아앙,치토스치킨/1
104,맛있게 잘먹었습니다 다음에도 도전,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))"
105,배달 빠르고 맛있어요,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반),추가메뉴(콜라추가1.25L))"
106,오짬은 진리입니다,오징어짬뽕치킨/1
107,이 메뉴로 자주 먹는데 코코소스를 이 전엔 안보내주셔서 추가했더니 오늘은 왔네요^_ㅠ 아쉽지만 항상 맛있게 잘 먹고 있어요 감사합니당,"순살반반/1(순살반반 선택(순살양념치킨 반,순살치토스치킨 반)),엔젤코코소스 추가/1"
108,배달도 빠르고 무엇보다 치토스 치킨 추천합니다 !! 완전 바삭해요,치토스치킨/1
109,배달 빠르고 맛있습니다 볶음밥 양 많고 맛있습니다,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(양념치킨))"
110,항상 맛있어요. 짱짱. 자꾸 먹고싶네요.,"순살세트/1(순살선택 1(순살양념치킨),순살선택 2(순살치토스치킨（콘스프맛）))"
111,신박한 맛이네요 잘 먹었습니다.,"순살반반/1(순살반반 선택(순살치토스치킨 반,순살치토스치킨（콘스프맛） 반))"
112,치토스 치킨 처음 먹어봤는데 정말 맛있어요. 강추합니다.,치토스치킨/1
113,잘 먹었습니다 리뷰이벤트 멕시감자는 안보내주셨어요..,강정치킨（뼈）/1
114,맛있어요 잘먹었습니다~~,"반반치킨/1(반반 선택(후라이드 반,땡초치킨 반))"
115,어릴 때 추억 생각하면서 먹었습니다. 다만 제가 기억하는 양념통닭 맛과 조금 달라서 아쉬웠습니다.,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(양념치킨))"
116,맛나게 잘 먹었습니다 ㅎㅎ,후라이드치킨/1
117,맛있어요...양념치킨...,양념치킨/1
118,"항상 실망시키지 않습니다. 배달도 빠르고 양도, 맛도 최고네요! 단골입니당:)",후라이드치킨/1
119,쿠폰써서 저렴하게 먹었는데 아주 맛있었어용!,순살강정치킨/1
120,언제나처럼 맛있었습니다. 별점 만점!,치토스치킨/1(추가메뉴(멕시감자))
121,맛있어요~ 치토스 처음 먹어봤는데 맛있더라구요~ 남은 치킨 냉동 해뒀다가 에프에 돌려먹으면 더 존맛ㅠ 서비스 콜라랑 감튀 감사했습니다~ 비록 그날 비가와서 감튀가 젖어서 못먹었지만 마음은 감사합니다!,"반반치킨/1(반반 선택(후라이드 반,치토스치킨 반))"
122,항상 맛있게먹는 곳입니다~~ 번창하세요!,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(후라이드),추가메뉴(콜라추가1.25L))"
123,맛있뎌염 맛있져 사진은... 못찍어놨네,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
124,축구하는 날이라서 배달시켰는데 한시간정도 기다렸어요 그래도 맛은 좋더라구요,"투마리세트/1(치킨선택 1(마늘치킨),치킨선택 2(양념치킨))"
125,치토스치킨..생소했는데 나름 달콤한게 맛있네요,치토스치킨（콘스프맛）/1(추가메뉴(체다치즈볼))
126,배달 거의 2시간 기다림. 취소할려고 전화했더니 출발했다함 진짜 앞으로는 프로모션할때는 안시킬게요 저번에도 할인할때 주문해서 엄청 늦게 왔는데 이번에도 2시간이라니. 치토스는 늦으면 눅눅해져요,"순살반반/1(순살반반 선택(순살땡초치킨 반,순살치토스치킨 반))"
127,"콜라 이벤트 하는줄 모르고 주문했더니 큰사이즈가 두개 왔네요 크크.. 간장, 양념 다 맛있는데 양념이 특히 맛있네요 간장은 타 치킨집보다 간이 세요","순살반반/1(순살반반 선택(순살양념치킨 반,순살골드（간장） 반),추가메뉴(콜라추가1.25L))"
128,첫번째가 오늘이고 두번째가 예전인데 양념 색부터 이전과는 달리 연해졋습니다. 강정치킨은 바삭한 맛으로 먹었는데 이번엔 매우 눅눅했습니다. 맛이바뀐건진 모르지만 이번엔 조금 별로였습니다,순살강정치킨/1
129,할인금액이 좋아서 저렴하게 잘먹었습니다^^,양념치킨/1
130,개인적으로 많이 매웠는데..매운거 좋아하시는 분들께 추천! 맛있어요,땡초치킨/1
131,존맛탱 배달만 빠르게 왓으면 굿,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(치토스치킨（콘스프맛）))"
132,튀김도 눅눅하고 예정시간 초과해서 별로 맛이 없게 먹었네요,후라이드치킨/1
133,오랜만에 옛생각나서 시켰는데 맛있었어요~!,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
134,후라이드도 맛있었는데 양념이 존맛탱입니다,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
135,배달하시는분도 친절하시고 맛있어요!!,"반반치킨/1(반반 선택(후라이드 반,땡초치킨 반))"
136,잘 먹었습니다.,후라이드치킨/1
137,뻑뻑살이 너무 많네요 ㅠㅠ,"반반치킨/1(반반 선택(후라이드 반,허니벌꿀 반))"
138,너무 맛있어서 그만 지려버렸습니다,순살후라이드치킨/1(추가메뉴(멕시감자))
139,배달도 친절하고 항상 맛있어요~!!!ㅋ,"반반치킨/1(반반 선택(후라이드 반,땡초치킨 반))"
140,요기요 쿠폰데이라 70분 이상이 걸릴 수도 있다고 공지돼있긴 했지만... 그래도 2시간은 너무한듯 합니다. 차갑던 맥주는 식어가고 배고픔은 점점 사라지고 ㅠㅠ 그래도 양념치킨은 참 맛나더라구요. 좀 식었지만요... 쿠폰데이때 주문량 조절을 하면 업체 손해가 클까요? 고객입장에서는 감당 가능한 주문량이 필요하다고 봅니다.,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
141,치킨 쿠폰 주길래 쥬뮨햇는데 금요일 저녁 비도 오고 행사중이라 배달 늦을거 생각 안한건 아님 배달 예정시간70분 주길래 그런가보다 80분후 늦을수도 잇지.. 날씨도 비가 많이오고 교통체증에 불금에 쿠폰행사니 ...음 90분 지나서부터.. 열받네 늦어지는거 전화나 문자 연락못주나요?? 100분이지나 110분지나 오질않음 2시간만에 받음.... 하긴 이런업체들 리뷰나 보겟어?? 내가 이렇게 떠든다고 먼소용이잇겟어... 나 하나 정도야 맘상하고 이용안하면 되지 다른사람들은 별 상관없겟지...,순살후라이드치킨/1
142,마시써용 히히히히히,순살치토스치킨/1
143,이번주만2번먹었네요 은평점이잴맛나요,멕시윙반반（후라이드＋양념）/1
144,맛있어요~~~~~~~,순살양념치킨/1
145,맛있어요 근데 8시20에 주문해서 9시55분에 받았어요 배고픈걸 떠나서 졸리고 쉬고 싶어요 양도 적고 특히 후라이드거 더 적어요ㅜㅜ 7000원 할인받았는데도 손해본 기분입니다,"순살반반/1(순살반반 선택(순살후라이드 반,순살마늘치킨 반))"
146,맛있구요 배달도 빠르게 왔어요,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(양념치킨))"
147,맛있게 잘먹었습니다,치토스치킨（콘스프맛）/1
148,불금 쿠폰 행사 기간인데도 많이 늦지않고 치킨도 제대로 튀겨져서 왔네요 맛있어요,"투마리세트/1(치킨선택 1(파닭),치킨선택 2(땡초치킨))"
149,아니 오늘같은 피크날 배달도빨라 맛도있어 콜라도 업그레이드해줘 서비스로 감자튀김까지줘 뭐 빠지는게없네요 아주 잘먹었습니다!!!!!!!!!!!,치토스치킨/1
150,콜라도 큰 사이즈 칙힌도 굿굿 배달도 빠릅니다 잘먹겠습니다 ~~~,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
151,역시 양념은 멕시카나가 최곱니다! 그런데 어제 후라이드는 너무 바싹 익혀져서 좀 딱딱해서 아쉬웟어요ㅜ,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
152,양념이랑 허니꿀 투마리 시켰는데 맛있엉ㅆ 허니꿀은 약간 간장치킨 느낌도 살짝나네요 이벤트하는날이라 배달이 좀 늦었지만 맛은 좋네요,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(허니벌꿀치킨))"
153,항상 맛있게 잘 먹고 있습니다!,양념치킨/1(추가메뉴(콜라추가1.25L))
154,수고가 많습니다 잘 먹었어요,순살양념치킨/1
155,처음 시켜보는거라 조금 걱정 했는데 후기대로 진짜 맛있네요 !!!! 땡초 매운거 땡길때 최고겠어요,"순살반반/1(순살반반 선택(순살후라이드 반,순살땡초치킨 반))"
156,치토스 치킨과 땡쵸 치킨 맛있게 먹었습니다 치토스치킨은 조금더 바삭했으면 좋겠네요~^^,"투마리세트/1(치킨선택 1(땡초치킨),치킨선택 2(치토스치킨))"
157,맛있어서 또 시켜요~~♡,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
158,콜라감튀서비스좋아요!,멕시윙（간장＋양념）/1
159,멕시카나 양념 짱맛~~!! 빨간색만 봐도 안먹는 아이들이 유일하게 먹는 양념치킨 입니다.. 오늘도 맛있다며 다음에 또 시켜 먹자고 하네요 잘 먹는 아이들 보니 기분이 좋아요~ 맛보기용 멕시감자도 바삭하고 맛있네요. 감자 안좋아하는 아이들인데 이건 정말 맛있데요~^^,양념치킨/1
160,잘먹엇습니다.ㅋ ㅋ ㅋ,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
161,처음으로 치토스 치킨 먹었는데 너무 맛있었어요! 맥시카나 신사점 너무 만족합니다 다음에는 다른 맛을 시키몀서 서비스로 받았던 감튀를 제대로 시켜먹어야겠어요 감튀도 너무 맛있었습니다,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(치토스치킨（콘스프맛）))"
162,잘먹었어요 수고하세요,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(땡초치킨))"
163,맛도 앙도 괜찮아요^^,눈꽃치즈치킨/1
164,간장은 좀 짜구요 양념은 맛있었어요!!,"순살반반/1(순살반반 선택(순살양념치킨 반,순살골드（간장） 반))"
165,배달비2천원주구두 여기다시킨이요 멕시카나는 은평점이젤맛있어요 치토스는 담날 먹어두 바삭하네요 닭이 겁나실하게 크네요 맛잇게먹었네요 배달은이벤트라 쩜걸렸네요,치토스치킨/1
166,먼곳이라 배송이 늦지만 은평점이 젤 맛있어서 여기로 시키게 되네요,"반반치킨/1(반반 선택(양념치킨 반,치토스치킨（콘스프맛） 반))"
167,"첫 주문이었는데, 맛있게 잘 먹었습니다^^","투마리세트/1(치킨선택 1(후라이드),치킨선택 2(눈꽃치즈치킨))"
168,맛. 양념치킨 시켰는데 맛은 괜찮았고요 배달. 한...1시간 반 넘게 걸린듯요,"양념치킨/1,사이다 1.25L/1,체다치즈볼/1"
169,전래 맛있어요 진짜 양도 많고 ( ᵕ̩̩ㅅᵕ̩̩ ) 최고의 맛집이에요,"투마리세트/1(치킨선택 1(허니벌꿀치킨),치킨선택 2(후라이드))"
170,좋아료........,
171,맛있게 잘 먹었습니다 감사합니다,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
172,감자준다써있는데 안옴 치킨은 원래 맛있음,순살치토스치킨/1
173,콜라사이즈 업 행사까지 오늘도 잘 먹었습니다,오징어짬뽕치킨/1
174,완전 치토스맛은 아니고 짭짤한치킨이네요,치토스치킨/1
175,갑자기 스페셜 할인이 들어가서 배달이 늦어진건충분히 감안하고 시켰습니다. 한시간 좀 넘게 걸렸지만 그래도 바삭하고 따뜻하게 갓 튀겨진 치킨이어서 너무 맛있었습니다. 이벤트 서비스로 주신 콜라 덕분에 더 잘 먹었어요. 감사합니다. 치즈볼은 예상과는 좀 다르게 해쉬브라운에 치즈가 있는 스타일이었던거 같은데 다덜 참고하세요~,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(눈꽃치즈치킨)),체다치즈볼/1"
176,배달이 한시간 지나서와서 놀랫어요.. 그래도 맛잇게먹엇습니다|,치토스치킨（콘스프맛）/1
