,리뷰,메뉴
284,맛있었어요아들이kfc를좋아하는데배달이되니넘좋네요,"핫크리스피치킨 1조각/1,오리지널치킨 4조각/1,치킨바베큐버거/1,통오징어바이트 5조각/1,너겟 10조각/1,페트콜라（500ml）/1,코크제로/1"
285,배달원 너무친잘하셔요,"왕갈비 오븐치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/2,스위트칠리소스/1,캔콜라/1"
286,1+1가능 하다면서요?? 왜 그냥 4조각 온거인지 설명좀 해주시죠??ㅡㅡ,"블랙라벨치킨 1조각/4,핫윙 4조각/1"
287,다 맛있어요!!!!,"트위스터/1,핫윙 4조각/1,에그타르트/1,오렌지쥬스/1"
288,징거들다운맥스 생각보다 느끼하더라고요... 너겟이랑 떡볶이라우치칸 맛있게 잘 먹었습니다 치킨은 역시 케에프씨,"왕갈비 오븐치킨 1조각/1,너겟 4조각/1,텐더떡볶이/1"
289,맛있게 잘 먹었습니다,"왕갈비 오븐치킨 1조각/2,갓양념치킨 1조각/2,비스켓/1"
290,버거 맛있어요.배달 아쩌씨도 수고했어요.,"왕갈비 오븐치킨 1조각/1,블랙라벨 에그타워버거세트/1,너겟 6조각/1,에그타르트/2"
291,그저그렇다. 배달은 친절했다,"치킨바베큐세트/1(사이드변경(에그타르트교환),음료변경(스프라이트교환))"
292,핫치즈 징거 맛남~~~~ 매콤하고 부들부들 좋음,"핫크리스피치킨 1조각/1,핫치즈징거버거세트/1(사이드변경(콘샐러드교환),음료변경(환타오렌지교환)),올쉐킷치즈/1"
293,잘먹었습니다. 감사합니다.,"블랙라벨 에그타워버거세트/1,트위스터/1"
294,배달원 4가지없고 매장직원 4가지없고 미리 해놓은건지 감자튀김이랑 햄버거는 엄청 눅눅하고 콜라 김다빠져있고 얼음까지 녹아있네요 배달도 오래걸리구요 전화하봤더니 죄송하다는말도 없이 불친절하게 응대하고 완전 비추입니다,"치킨바베큐세트/3(사이드변경(후렌치후라이),음료변경(콜라)),치킨바베큐버거/2"
295,역시치 킨은감동입니다,"핫크리스피치킨 1조각/1,핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),핫치즈징거버거/1,콘샐러드/1"
296,맛있게잘먹었어요~~,"베스트디저트팩/1,갓양념치킨 1조각/1,핫크리스피치킨 1조각/1,징거버거/1"
297,주문사항 안보시나봐여?바쁜시간도 아닌데;;,"갓양념치킨 1조각/1,오리지널치킨 1조각/1,텐더스트립스 2조각/1,너겟 10조각/1,비스켓/1"
298,갓양념치킨은 역시 갓이었음,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/2,오리지널치킨 1조각/1"
299,괜찮긴한데 거리때문에 식어서왔음 하지만 평균ㅇ상,"오리지널치킨 1조각/2,징거더블다운맥스세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
300,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,"왕갈비 오븐치킨 1조각/1,블랙라벨치킨 1조각/1,징거더블다운맥스세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
301,가격도 저렴하고 좋은데 핫크리스피가 아니라 일반이 온것 같아요. 다음번에 좀 신경써주세요,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/1,핫치즈징거버거세트/1(사이드변경(롱치즈스틱교환),음료변경(스프라이트교환))"
302,제이 엠 티 말그대로 존맛탱,"베스트디저트팩/1,징거더블다운맥스세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
303,근처 두마리치킨급의 양과 탑급 후라이드를 브랜드치킨 미만으로 구매 가능,"왕갈비 오븐치킨 1조각/2,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1"
304,근처 두마리치킨급의 양과 탑급 후라이드를 브랜드치킨 미만으로 구매 가능한 갓갓배달집,"블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,오리지널치킨 1조각/1"
305,아들이엄청좋아하고잘먹었어요 GOOD!!!,"블랙라벨치킨 4조각/1,오리지널타워버거 세트/1(사이드변경(롱치즈스틱교환),음료변경(콜라)),올쉐킷치즈/1,버터/1"
306,미리만들어둔개왔눈지 너무차가웠어여 ㅠㅠ,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/2,에그타르트/1"
307,심야가 배달 더 친절하신듯ㅎㅎㅎ,"징거버거세트/1(사이드변경(에그타르트교환),음료변경(콜라)),핫윙 4조각/1,에그타르트/1"
