,리뷰,메뉴
89,지코바 치밥 존맛탱요!!!,지코바 뼈 양념치킨/1(맛 선택(보통맛))
90,잘먹었어요 배달 빨라여,지코바 순살 양념치킨/1(맛 선택(보통맛))
91,비오는데 배달와주셔서감사합니다ㅜㅜ 비와서 밖에안나가고 술안주로 먹고있는데 진짜양도많고 다른지점보다 더맛있어요!👍👍👍👍👍,지코바 순살 양념치킨/1(맛 선택(매운맛))
92,항상 잘 먹고 있습니다.,지코바 순살 양념치킨/1(맛 선택(순한맛))
93,맛있어요 지코바 양념은 진리입니다.,"지코바 뼈 소금구이치킨/1,지코바 순살 양념치킨/1(맛 선택(순한맛))"
94,치밥은 지코바 지코바는 치밥 여름에는 냉면이랑 먹어도 존맛,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 1.25L로 변경))"
95,말복 대란에 탑승햇습니다 ㅋㅋ 닭다리 한개뿐인건 나중에 생각날만큼 믿먹 지코바 ㅋㅂㅋ 바쁘셧겟다 싶어라구용ㅋ 배달원분도 친절하시구 어제 바쁘고 비도오구 그러셧을텐데 고생많으셧어영! 담에도 시킬게여,지코바 뼈 양념치킨/1(맛 선택(보통맛))
96,처음 먹어봤는데.. 대존맛..다이어트엔역시 닭이죠~~,지코바 순살 양념치킨/1(맛 선택(보통맛))
97,혼자먹기에는 양이많네요 약간먹으면서 탄맛과함께 닭비린맛이났어요...ㅜㅜㅜㅜ지코바좋아하는데 너무아쉬웠어요ㅜ배달은생각보다빨랐습니다,지코바 순살 양념치킨/1(맛 선택(매운맛))
98,맛잇네요~너무 좋아요,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(떡 추가))"
99,배달 누락으로 2시간을 기다렸지만 맛있어서 참았습니다. 배고파 죽는 줄.,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(콜라 1.25L로 변경))"
100,지코바 성산1점이 최고입니다,지코바 순살 양념치킨/1(맛 선택(순한맛))
101,마시써여 헝헝헝 ㅠ,지코바 뼈 양념치킨/1(맛 선택(보통맛))
102,맛있게 잘먹었습니다,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가))"
103,배달은 많이 늦었지만 맛은 확실하네요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 1.25L로 변경))"
104,평소보다 좀 많이 맵네요. 그래도 맛있게 먹었습니다.,지코바 순살 양념치킨/1(맛 선택(순한맛))
105,맛있어요 양은 많지도 적지도 않아요,지코바 순살 양념치킨/1(맛 선택(보통맛))
106,맛있어요 역시 지코바는 매운맛이 최고네요! 잘먹었습니다!,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(콜라 500ml 추가))"
107,1시간 20분이됬는데 안오네오,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(떡 추가))"
108,순한맛 담백하고 맛있어요!,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(떡 추가))"
109,맛있게 잘 먹었습니다~,"지코바 순살 양념치킨/1(맛 선택(순한맛)),햇반（즉석밥）/1"
110,80분째 안오고있는거 실화...?,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(콜라 500ml 추가))"
111,리뷰보고 처음 시켜봤는데 정말 맛있네요~,지코바 뼈 양념치킨/1(맛 선택(보통맛))
112,조용히 가져다주셔서 멍멍이가 안짖었어여 감사합니다 ㅎㅋㅋㅋㅋㅋㅋ사장님최고...♡ 너무맛있어서 사진찍을시..간이없었네여 굿굿!!,지코바 순살 양념치킨/1(맛 선택(보통맛))
113,"사진을 못찍었어요 ㅜㅜ 허겁지겁 먹느라요,, 너무 맛있어요 배달도 원래 60 분 걸린대는데 30 분만에 오셔서 진짜 비행기 타고 날라오신줄 ,, 역시 지코바는 치밥이죠 ㅠ 단골될게요 계속 맛나게 만들어주세욥!!!","지코바 순살 양념치킨/1(맛 선택(순한맛)),햇반（즉석밥）/1"
114,맛있는데 매운맛이 생각보다 안 매워서 조금 아쉬웠어요,지코바 뼈 양념치킨/1(맛 선택(매운맛))
115,아들 녀석이 치밥 먹고 싶어해서 주문하는 편입니다. 저는 기름이 많아서... 그 부분이 좀 아쉬워요,지코바 순살 양념치킨/1(맛 선택(보통맛))
116,맛있어요 배달 빨라요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 1.25L로 변경))"
117,맛있어요 배달도 빨라요,지코바 순살 양념치킨/1(맛 선택(보통맛))
118,지코바는 언제나 진리이죠,지코바 순살 양념치킨/1(맛 선택(보통맛))
119,"정말 오래전 먹고 빠져들었던 지코바~ 동네에 없어서 잊고 지냈는데 우연히 주문하게 되었어요. 성산1호점 지코바 너무 맛있네요~ 추억돋네요. 치밥엔 지코바가 최고인 거 같아요. 닭이 좀 작아서 양이 작은 듯하지만, 맛있어서 자주 먹게 될 것 같아요.",지코바 뼈 양념치킨/1(맛 선택(매운맛))
120,항상시켜먹어요 맛잇네요,"지코바 뼈 양념치킨/1(맛 선택(순한맛),추가 메뉴(콜라 1.25L로 변경))"
121,조금은 짭잘한맛!! 그래두 맛있네요~,지코바 순살 양념치킨/1(맛 선택(보통맛))
122,언제나 맛있어요 떡 추가에 밥에 비벼먹음 짱이에요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
123,맛도 진하고 항상 맛있습니다. 잘 먹었습니다.,지코바 순살 양념치킨/1(맛 선택(순한맛))
124,진짜 조오오오오올ㄹㅏ 맛있어요ㅠㅠ,"지코바 뼈 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
125,그날이 복날이라 배달이 늦긴했는데 그거야 모든지점이 같으니까요!! 지코바 처음인데 맛있었어요. 블로그같은데서 양 적다고 해서 얼마나 적나 상상했는데 괜찮더라고요!! 다음엔 소금구이 먹어보려고요~,지코바 순살 양념치킨/1(맛 선택(보통맛))
126,여태 먹은 지코바 중에 가장 상태가 좋았어요! 잘 먹었습니다!,지코바 순살 양념치킨/1(맛 선택(보통맛))
127,살짝 맵지만 정말 맛있습니다,지코바 순살 양념치킨/1(맛 선택(보통맛))
128,배달도 알려주신 시간보다 빨리왔고 양도 많고 양념도 많아서 좋았어요~~ 맛있게 잘먹었습니다~,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 1.25L로 변경))"
129,맛있어요 배달 빨라요,지코바 순살 양념치킨/1(맛 선택(보통맛))
130,배달도 빠르고 맛있게 잘 먹었어요! 성산점 최고에요👍,지코바 뼈 양념치킨/1(맛 선택(보통맛))
131,맛있게 잘 먹었습니다!!!!! 양도 많고 맛도 너무 좋았습니다.,"지코바 순살 양념치킨/1(맛 선택(보통맛)),햇반（즉석밥）/1"
132,맛있어요 또먹을게요~,지코바 순살 양념치킨/1(맛 선택(보통맛))
133,일요일이라 시간 꽤 걸릴 줄 알았는데 빨리 왔어요~ 배달 해주시는 분도 친절하시구 아주 잘 먹었어요! 감사합니다 :),지코바 순살 양념치킨/1(맛 선택(보통맛))
134,맛있습니다 또 시켜먹을거에요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 500ml 추가)),햇반（즉석밥）/1"
135,먹느라 사진 못찍었어요ㅠㅠ 맛있게 잘 먹었습니다~~~~!!,지코바 순살 양념치킨/1(맛 선택(보통맛))
136,너무 맛있어서 그런지 양이 더 아쉬워요ㅜㅜ,지코바 순살 양념치킨/1(맛 선택(보통맛))
137,맛있게 잘먹었어요~^^,지코바 순살 양념치킨/1(맛 선택(보통맛))
138,역시 믿고 먹는 지코바! ㅋㅋ 짱맛,지코바 뼈 양념치킨/1(맛 선택(보통맛))
139,먹다보니 점점 매워지길래... 순한맛이 이렇게 매웠나?? ... 고추가 이렇게나 많았네요..ㅠㅠ 잘못배달해주신거였어요ㅠㅠ 늦은 시간에 주문이라..문의하기도 그래서 먹었는데 역시.. 매운맛은 힘들었어요 퓨 확인 잘 하고 배달 부탁드립니다 ㅠㅠ,지코바 순살 양념치킨/1(맛 선택(순한맛))
140,치킨이 무슨 건조시킨것마냥 질기고 딱딱하네요 부드러울줄알았는데ㅜㅜ 지점마다 차이가있는듯,지코바 순살 양념치킨/1(맛 선택(보통맛))
141,빨리 먹고싶었나보다...초점이ㅋㅋㅋ역시 맛있어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
142,배달 늦은거 빼곤 맛있게 잘 먹었습니다~,지코바 뼈 양념치킨/1(맛 선택(보통맛))
143,그냥 존맛. 조금만 더 싸면 좋겠음,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(콜라 1.25L로 변경))"
144,매운맛은 매운거 잘 드시는 분들만 드세요. 잘 못드시는 분들은 매운맛이 맵게 느껴질것 같아요. 일반 양념 치킨은 맛있었어요. 배달기사님도 친절하셨어요,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가))"
145,배달도 빠르구 친절하시구 맛있어욥 조만간 또 먹을게요,지코바 순살 양념치킨/1(맛 선택(보통맛))
146,배달이 좀 느렸지만 맛있었어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
147,늘 잘 먹고있습니다,지코바 순살 양념치킨/1(맛 선택(보통맛))
148,먹음직 스럽습니다 맛있어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
149,맛있고 음식상태도 아주 좋았어요! 추천합니다,지코바 순살 양념치킨/1(맛 선택(보통맛))
150,맛있어요.떡빼주신거 감사해요.♡번창하세요.,지코바 순살 양념치킨/1(맛 선택(매운맛))
151,맛있게 먹고갑니다!!,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가)),지코바 순살 소금구이치킨/1"
152,배달도 빠르고 맛있어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
153,이벤트 때문이겠지만 2시간 15분만에 받았어요..ㅜㅜ,"지코바 뼈 양념치킨/1(맛 선택(순한맛),추가 메뉴(떡 추가))"
154,배부르게 잘묵고 갑니다,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(떡 추가,콜라 1.25L로 변경))"
155,매콤하고 맛있어여~,"지코바 뼈 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가))"
156,먹을때마다맛나요 짱 추천추천,지코바 순살 양념치킨/1(맛 선택(매운맛))
157,나무젓가락이 없네요ㅜ 잘먹었어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
158,언제나 실망시키지 않네요.,지코바 순살 양념치킨/1(맛 선택(순한맛))
159,지코바 너무 맛있어요.. 맨날 시켜먹고 싶은 맛이에요 친구들이랑 먹어야돼서 보통맛으로 먹었는데 다음엔 매운맛으로 시키려구여 진짜 맛있고 떡도 쫄깃,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
160,맛있어요 배달도 엄청 빠름!,지코바 순살 양념치킨/1(맛 선택(보통맛))
161,너무 맛있었어요. 떡이 좀 더 있었으면 하는 아쉬움이 살짝 남는!!,지코바 순살 양념치킨/1(맛 선택(순한맛))
162,지코바 처음 먹어봤는데 기대했던 맛은 아니네용ㅠㅠ 그래도 떡사리 추가했더니 떡 잔~~뜩이라 좋았고 배달이 예상보다 훨씬 빨리와서 깜짝 놀랐어요!!,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가))"
163,퇴근날 맛있게 먹었습니다!!!,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
164,양도 많고 적당히 매워서 너무 맛있게 먹었어요!! 다음에 또 시켜먹을게요👏👏,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가))"
165,지코바 중 여기가 최고,지코바 순살 양념치킨/1(맛 선택(매운맛))
166,역시 지코바 실망시키지 않구만유 MMG,지코바 순살 양념치킨/1(맛 선택(보통맛))
167,적힌 시간보다 빨리왔어요❗️ 저는 맵찐이라 순한맛만 먹어도 매콤해서 맛있더라구욤 역시 지코바 순살 최고👍,지코바 순살 양념치킨/1(맛 선택(순한맛))
168,믿고 먹는 지코바치킨,"지코바 순살 양념치킨/1(맛 선택(순한맛)),햇반（즉석밥）/3"
169,소금 구이는 처음 먹어봤는데 맛있다... 밥이 계속 들어가는 맛,지코바 순살 소금구이치킨/1
170,정말 맛있어유 ㅎㅎㅎ 항상 양념 많이 달라고 부탁드리는데 처음엔 넘칠정도로와서 너무 행복했는데 그다음부턴 양념이 조금 적어요 ㅠㅠㅠㅠ 추가요금내서라도 더 추가할수있으면 추가할테니 다음에 올때 양념 더 많이 부탁드려요!!,지코바 순살 양념치킨/1(맛 선택(매운맛))
171,메뉴가 잘못왔는데 말했더니 떡추가해서 빨리 갖다주셨어요~,지코바 순살 양념치킨/1(맛 선택(보통맛))
172,떡도 치킨도 너무 맛있는데 기름이 좀 많아서 아쉬웠어요ㅠㅜㅠㅠ 그래도 밥이랑 같이 잘 먹었어요 ㅡㅎㅎ,"지코바 순살 양념치킨/1(맛 선택(보통맛)),햇반（즉석밥）/1"
173,너무 맛있어요ㅠ 조만간 또 먹을게용,지코바 순살 양념치킨/1(맛 선택(보통맛))
174,맛있었어요 앞으로도 종종 시킬것 같습니다,지코바 뼈 양념치킨/1(맛 선택(매운맛))
175,오늘도 맛있게 먹었습니다 ㅎㅎㅎㅎㅎㅎ 많이 파세요!!!!!!!,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가)),지코바 순살 소금구이치킨/1"
176,^^ 지난번에 아들이 없을때 주문해서 아들 주려고 또 시켰어요. 아들도 엄청 잘먹네요. 혼자서 거의 다 먹었습니다~ ㅎㅎㅎ,지코바 순살 양념치킨/1(맛 선택(순한맛))
177,매번 만족스러운 맛으로 볶음밥까지 해먹어서 버릴 것이 하나도 없어요^^ 매번 보통맛과 매운맛 사이에서 고민하게 되는데요. 스트레스쌓인 날은 매운날~~ 평범한 날은 보통맛으로 즐겨요^^,지코바 순살 양념치킨/1(맛 선택(매운맛))
178,치밥하기에 완전 최고 배달도 짱빠룸,지코바 순살 양념치킨/1(맛 선택(보통맛))
179,아 지코바는역시 사랑입니다 너무잘먹었습니다 감사합니다!!~~,"지코바 순살 양념치킨/1(맛 선택(순한맛),추가 메뉴(콜라 1.25L로 변경))"
180,짱짱 맛있음 배달 빨라요,지코바 순살 양념치킨/1(맛 선택(보통맛))
181,근처 지코바중에 제일 맛잏우요,지코바 순살 양념치킨/1
182,딱 적당한 양에 순한맛도 적당히 매콤해서 맛있게 잘 먹었습니다. 자주 주문할듯 하네요~^^,지코바 순살 양념치킨/1(맛 선택(순한맛))
183,맛있게 잘 먹었습니다,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
184,종맛입니다! 배달도 빠르고..양도 많고 맛도 있고... 또 시켜먹고싶어요,지코바 순살 양념치킨/1(맛 선택(보통맛))
185,오늘따라 더 맛있네요 간이 아주 그냥 딱!!!,지코바 뼈 양념치킨/1(맛 선택(보통맛))
186,맛잇게먹는중에 머리카락 나왔어요..... 진짜 기분 안좋네요... 그냥 넘겨야하나요?,"순살양념치킨/1(맛 선택(매콤한맛),변경 선택(음료 변경 안함))"
187,"다른 지점에서 시켜먹고 실망해서, 성산점 시켰는데 확실히 맛있네요.","순살양념치킨/1(맛 선택(순한맛),변경 선택(음료 변경 안함))"
188,맛있게 먹었습니다!!!!!,"순살양념치킨/1(맛 선택(보통맛),추가 선택(떡사리 추가),변경 선택(음료 변경 안함)),순살소금구이/1(변경 선택(음료 변경 안함))"
