,리뷰,메뉴
47,여기 치즈가 진짜 맛있어요 토핑도 푸짐하구 소스 잘챙겨주셔서 넘나좋음ㅋㅋㅋㅋㅋ배달도 완전 빨라요 기사님이 엄청나게 친절하셔서 더 맛나게 먹었습니다^^,"슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함),토핑 추가 선택 L(버섯 20g 추가)),콜라 1.25L/1"
48,살짝 단맛이... 새로운 피자였습니다 맛있게 잘 먹었어요,베이컨체다프라이 피자 L/1(도우 선택 L(치즈크러스트 추가))
49,zzzzzzzzzzz,불고기 피자 M/1(도우 선택 M(추가 안함))
50,맛있어요~~~~ 또시킬께용,"슈퍼슈프림 피자 L/1(도우 선택 L(치즈크러스트 추가)),피클/2"
51,ㅇ너무너무 맛있었오용,"스위트고구마 피자 M/1(도우 선택 M(추가 안함)),버팔로윙 10개/1,갈릭디핑소스/1,스프라이트 500mL/1"
52,조아......올리브..조아...,"치킨바베큐 피자 L/1(도우 선택 L(추가 안함),토핑 추가 선택 L(블랙 올리브20개 추가))"
53,아주 맛잇는 피자입니다 배달도 빠르고,"불고기 피자 M/1(도우 선택 M(추가 안함)),버팔로윙 10개/1,콜라 1.25L/1"
54,맛있게 잘 먹었습니다,"슈퍼슈프림 피자 M/1(도우 선택 M(치즈크러스트 추가)),치즈오븐스파게티/1"
55,아주 빨라요!!!!,"페퍼로니 피자 M/1(도우 선택 M(치즈크러스트 추가)),콜라 500mL/1"
56,잘못시켰나 예전보다 맛이 없어졌어요.,숯불갈비 피자 L/1(도우 선택 L(추가 안함))
57,굿굿!!!!!!,"슈퍼슈프림 피자 M/1(도우 선택 M(골드（스트링치즈, 고구마무스,체다치즈）추가))"
58,스파게티가 아주 맛있어요. 다음에 또 주문하겠습니다.,"슈퍼슈프림 피자 M/1(도우 선택 M(치즈크러스트 추가),토핑 추가 선택 M(치즈 추가)),치즈오븐스파게티/1,스프라이트 1.5L/1"
59,가성비가 좀 아쉽네요,"슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함),토핑 추가 선택 L(버섯 20g 추가,양파 20g 추가,블랙 올리브20개 추가)),갈릭디핑소스/3"
60,치즈가진짜맛있어요ㅠㅠㅠ 저메뉴도진짜 맛있었음ㅠ,핫치킨 피자 M/1
61,맛있었어요 다음에 또 시킬께요~,"치즈 피자 L/1(L사이즈 추가선택(씬도우 추가)),핫소스 1개/1,치즈가루 1개/1,갈릭디핑소스/1,콜라 500mL/1"
62,치즈가 너무 부드럽고 맛있네요,"스위트고구마 피자 M/1,콜라 1.25L/1"
63,굳,"슈퍼슈프림 피자 M/1,치즈오븐스파게티/1"
64,"맛있고, 배달도 빨랐어요~",대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(슈퍼슈프림 피자L))
65,처음 시켰는데 인기 좋았어요. 자주 이용할듯요,슈퍼슈프림 피자 L/1
66,그럭저럭 먹을만 했 습니다,고르곤졸라피자 L/1
67,배달은 빠릅니다 빠른빠른,슈퍼슈프림 피자 M/1
68,굳,"포테이토 피자L/1,버팔로윙 10개/1"
69,배달 빨랏어요 원래 시켜먹는곳인데 이번에 시킨건 타고 ..식어서 그런지 저번에 시킨것보다 못해서 좀 그래요.. 빵이 아니라 과자에요,"고르곤졸라피자 M/1,벌꿀/2,콜라 500mL/1"
70,감사합니다. 새벽에도,"슈퍼슈프림 피자 M/1,콜라 1.25L/1"
71,맛있게 잘먹었습니다~ 스파게티도 존맛,대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(슈퍼슈프림 피자L))
72,토핑도 많고 맛있었습니다~,불고기 피자 L/1
73,배달요청사항에 적는건 아예 안보시는건가요... 오기전에 전화주면 내려간다고 했는데.. 혹시 몰라서 호수 적는 벨 누르지말라고 한번 더 적어놨는데 굳이 눌러서 다 깼네요.. 새벽에 조용히 먹으려고 시켰다가 다 깨가지고 미안해서 그냥 식탁에 두고 왔네요,"페퍼로니 피자 M/1,콜라 1.25L/1"
74,너무 맛있네요 가성비도 좋고 자주 시키겠습니다,치킨바베큐 피자 L/1(추가선택(버섯 20g추가))
75,하와이언피자에 파인애플는 많이있고 햄이없어요...까먹고 안느신건가요? 웡은 맛있어요.,"하와이언 피자 M/1,버팔로윙 10개/1"
76,맛있고 양많고 좋았어요,베이컨포테이토골드 피자 L/1
77,완전 마시쩡 올리브 완전 많이 넣어주셨다😍💗 올리브 한번 추가했는데 완전 많이 넣어주셔서 깜짝 놀라서 세봤읍니다 .. 넘 감사하구 진짜 맛있었어요 흑ㅎ흑ㅎ그 ㅠㅠㅠㅠㅜㅠㅜㅜㅜㅡ,"페퍼로니 피자 M/1(M사이즈 추가선택(치즈크러스트 추가),추가선택(블랙 올리브 20개 추가))"
78,맛있었어요~~!!!,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(불고기피자L),L 추가 선택(치즈크러스트 추가),추가 선택(치즈스틱5개))"
